Energy(eV),Transmission
-3.000000000000000444e+00,3.995081822633014822e-12
-2.969849246231155870e+00,7.296293234051892976e-14
-2.939698492462311741e+00,1.547909730286729861e-12
-2.909547738693467167e+00,1.388154800227643811e-04
-2.879396984924623037e+00,7.442607438192360824e-04
-2.849246231155778908e+00,3.992464729792004861e-03
-2.819095477386934778e+00,9.650220945189676158e-02
-2.788944723618090649e+00,3.400827311347269233e-01
-2.758793969849246075e+00,5.586658809216316079e-01
-2.728643216080401945e+00,7.884607859807886143e-01
-2.698492462311557816e+00,9.466714397825768401e-01
-2.668341708542713686e+00,1.033623514041125402e+00
-2.638190954773869557e+00,1.067192482451217783e+00
-2.608040201005024983e+00,1.076035588739325366e+00
-2.577889447236180853e+00,1.084356284809953941e+00
-2.547738693467336724e+00,1.084121431198973085e+00
-2.517587939698492594e+00,1.069961872018464488e+00
-2.487437185929648464e+00,1.043296258063456827e+00
-2.457286432160803891e+00,1.010630927981954530e+00
-2.427135678391959761e+00,1.039341552696533277e+00
-2.396984924623115631e+00,1.339690067602256285e+00
-2.366834170854271502e+00,1.795103995003412889e+00
-2.336683417085427372e+00,1.752074765472568352e+00
-2.306532663316582799e+00,1.845318512194230820e+00
-2.276381909547738669e+00,2.032457641164312712e+00
-2.246231155778894539e+00,2.102283156008809772e+00
-2.216080402010050410e+00,2.177525770492840795e+00
-2.185929648241206280e+00,2.215952547101055270e+00
-2.155778894472361706e+00,2.192531497541264862e+00
-2.125628140703517577e+00,2.125949081376480088e+00
-2.095477386934673447e+00,2.050250112948963199e+00
-2.065326633165829318e+00,1.994288026040499373e+00
-2.035175879396985188e+00,1.971998547947115155e+00
-2.005025125628140614e+00,1.975276076314656626e+00
-1.974874371859296707e+00,1.975506943603282606e+00
-1.944723618090452355e+00,1.938830463199674004e+00
-1.914572864321608003e+00,1.835391361681933509e+00
-1.884422110552763874e+00,2.104621070216664780e+00
-1.854271356783919744e+00,1.969543602570056784e+00
-1.824120603015075615e+00,2.653237107662809624e+00
-1.793969849246231263e+00,2.761183302537185469e+00
-1.763819095477386911e+00,2.921648386280230714e+00
-1.733668341708542782e+00,3.066722948017604811e+00
-1.703517587939698874e+00,3.146878173666899592e+00
-1.673366834170854078e+00,3.204647421740028701e+00
-1.643216080402010171e+00,3.244999867245240477e+00
-1.613065326633166041e+00,3.256725376952613438e+00
-1.582914572864321689e+00,3.239393853186355088e+00
-1.552763819095477338e+00,3.210033075764633814e+00
-1.522613065326633208e+00,3.193646492332791187e+00
-1.492462311557789079e+00,3.208542974653649793e+00
-1.462311557788944727e+00,3.259231989722342071e+00
-1.432160804020100597e+00,3.336039935394502276e+00
-1.402010050251256246e+00,3.417739430542275247e+00
-1.371859296482412116e+00,3.479183430909194907e+00
-1.341708542713567986e+00,3.501853049619573888e+00
-1.311557788944723635e+00,3.443831123850587872e+00
-1.281407035175879505e+00,3.617960759757854916e+00
-1.251256281407035154e+00,4.049053022666091017e+00
-1.221105527638191024e+00,4.121278529808874325e+00
-1.190954773869346894e+00,4.143826331816879538e+00
-1.160804020100502543e+00,4.170880733589146239e+00
-1.130653266331658413e+00,4.194423945595969982e+00
-1.100502512562814061e+00,4.249103253986032058e+00
-1.070351758793969932e+00,4.300878674752239839e+00
-1.040201005025125802e+00,4.326880536855993498e+00
-1.010050251256281451e+00,4.300172597947462982e+00
-9.798994974874370989e-01,4.247627878068936269e+00
-9.497487437185930803e-01,4.227118271674286554e+00
-9.195979899497487287e-01,3.527924723622419823e+00
-8.894472361809045990e-01,3.581591123264742382e+00
-8.592964824120605805e-01,3.517969895665085112e+00
-8.291457286432158957e-01,3.435274206122233664e+00
-7.989949748743718771e-01,3.408410206094596884e+00
-7.688442211055277475e-01,3.379580356872557534e+00
-7.386934673366836179e-01,3.219445963455314086e+00
-7.085427135678394883e-01,2.456695592976091636e+00
-6.783919597989949146e-01,1.606712409558875843e+00
-6.482412060301507850e-01,1.937078588857552353e+00
-6.180904522613066554e-01,1.915590318039960271e+00
-5.879396984924625258e-01,1.900049241757920893e+00
-5.577889447236183962e-01,1.886417683481983021e+00
-5.276381909547738225e-01,1.872987117993503148e+00
-4.974874371859297484e-01,1.859054572770924674e+00
-4.673366834170855078e-01,1.844587432819643658e+00
-4.371859296482414337e-01,1.830011454745117616e+00
-4.070351758793973040e-01,1.815522263734466790e+00
-3.768844221105527303e-01,1.799231448012410306e+00
-3.467336683417086007e-01,1.770333778582943829e+00
-3.165829145728644711e-01,1.614652212347782445e+00
-2.864321608040203415e-01,9.779571387630280332e-01
-2.562814070351762119e-01,9.758749540346985940e-01
-2.261306532663316660e-01,9.645012974994742194e-01
-1.959798994974875086e-01,9.217404126860561098e-01
-1.658291457286433790e-01,1.425144753607127373e-03
-1.356783919597992494e-01,2.593021474562295001e-08
-1.055276381909546757e-01,2.707694014898992129e-09
-7.537688442211054607e-02,8.164245419896467052e-10
-4.522613065326641646e-02,4.237736412664143015e-10
-1.507537688442228685e-02,3.232624575790834979e-10
1.507537688442184276e-02,3.442778171023759043e-10
4.522613065326641646e-02,5.165091483089803490e-10
7.537688442211054607e-02,1.178141394107873237e-09
1.055276381909546757e-01,5.104279317582725078e-09
1.356783919597988053e-01,1.024148027394138683e-07
1.658291457286429349e-01,1.556780243269688681e-05
1.959798994974875086e-01,7.073363623165601632e-01
2.261306532663316660e-01,8.482593341768910333e-01
2.562814070351757678e-01,8.808965170421221291e-01
2.864321608040198974e-01,6.479740749220879170e-01
3.165829145728640270e-01,1.287699802089189882e+00
3.467336683417086007e-01,1.636500665711649871e+00
3.768844221105527303e-01,1.716144500086420166e+00
4.070351758793969155e-01,1.743818638452023562e+00
4.371859296482409896e-01,1.752968803069945736e+00
4.673366834170851192e-01,1.752266322239212748e+00
4.974874371859297484e-01,1.743675759120959956e+00
5.276381909547738225e-01,1.726222745755227717e+00
5.577889447236179521e-01,1.694775613908586998e+00
5.879396984924620817e-01,1.629845305913707909e+00
6.180904522613062113e-01,1.426384766215681221e+00
6.482412060301507850e-01,1.412279654536074514e+00
6.783919597989949146e-01,1.840534995290793674e+00
7.085427135678390442e-01,2.347135572630712375e+00
7.386934673366831738e-01,3.205948629280259699e+00
7.688442211055274145e-01,3.298766483627931567e+00
7.989949748743718771e-01,3.302946109291074794e+00
8.291457286432158957e-01,3.304159949759721382e+00
8.592964824120602474e-01,3.315910383462958855e+00
8.894472361809043770e-01,3.028722090487441232e+00
9.195979899497483956e-01,3.583692758832500935e+00
9.497487437185930803e-01,4.213110113491567610e+00
9.798994974874370989e-01,4.241508907435505904e+00
1.010050251256281229e+00,4.289520093630137865e+00
1.040201005025125802e+00,4.317680006440316909e+00
1.070351758793969488e+00,4.305355758398428101e+00
1.100502512562814061e+00,4.277626923017255223e+00
1.130653266331657747e+00,4.249819081534279341e+00
1.160804020100502321e+00,4.214814290184090595e+00
1.190954773869346894e+00,4.151470103660459543e+00
1.221105527638190580e+00,4.099294244884584160e+00
1.251256281407035154e+00,4.024705066857341862e+00
1.281407035175878839e+00,3.609572709049954309e+00
1.311557788944723413e+00,3.604249827603358103e+00
1.341708542713567986e+00,3.593152612231622633e+00
1.371859296482411672e+00,3.568028376668560764e+00
1.402010050251256246e+00,3.521614795941888865e+00
1.432160804020099931e+00,3.465474727655138310e+00
1.462311557788944505e+00,3.420421527530330685e+00
1.492462311557789079e+00,3.403332861662933251e+00
1.522613065326632764e+00,3.417611007483428498e+00
1.552763819095477338e+00,3.446318751187910756e+00
1.582914572864321023e+00,3.453683185827972402e+00
1.613065326633165597e+00,3.409173153128728373e+00
1.643216080402010171e+00,3.317409586469762139e+00
1.673366834170853856e+00,3.214896238666690387e+00
1.703517587939698430e+00,3.146192571875478183e+00
1.733668341708542115e+00,3.127291999747063400e+00
1.763819095477386689e+00,3.092952915624520571e+00
1.793969849246231263e+00,2.979431715148710413e+00
1.824120603015074948e+00,2.643911116027478414e+00
1.854271356783919522e+00,2.213482623810477445e+00
1.884422110552763208e+00,2.474681112069353262e+00
1.914572864321607781e+00,2.587133809232601056e+00
1.944723618090452355e+00,2.573287118057547840e+00
1.974874371859296041e+00,2.498351034284495231e+00
2.005025125628140614e+00,2.391535369014519130e+00
2.035175879396984300e+00,2.295476664390663668e+00
2.065326633165828873e+00,2.246207987769044401e+00
2.095477386934673447e+00,2.260902203928373932e+00
2.125628140703517133e+00,2.335651843728686394e+00
2.155778894472361706e+00,2.440928689575918131e+00
2.185929648241205392e+00,2.519077094765890035e+00
2.216080402010049966e+00,2.506638890312918200e+00
2.246231155778894539e+00,2.378128875958958055e+00
2.276381909547738225e+00,2.163137517442027757e+00
2.306532663316582799e+00,1.903312673936288224e+00
2.336683417085426484e+00,1.406101681347895260e+00
2.366834170854271058e+00,1.875592380050167485e+00
