Energy(eV),Transmission
-3.000000000000000444e+00,7.409084167248310895e-16
-2.969849246231155870e+00,3.354876885417973735e-14
-2.939698492462311741e+00,7.493735618153403688e-12
-2.909547738693467167e+00,1.193848092860319045e-02
-2.879396984924623037e+00,6.737620069279047774e-01
-2.849246231155778908e+00,5.587378213463661814e-01
-2.819095477386934778e+00,7.766176725599609476e-01
-2.788944723618090649e+00,8.025795577481824594e-01
-2.758793969849246075e+00,7.431032204050942447e-01
-2.728643216080401945e+00,4.641951149907754259e-01
-2.698492462311557816e+00,8.861338223435101247e-01
-2.668341708542713686e+00,1.338349743430994776e+00
-2.638190954773869557e+00,1.471774471297898401e+00
-2.608040201005024983e+00,1.541843425300748693e+00
-2.577889447236180853e+00,1.623780661336862385e+00
-2.547738693467336724e+00,1.689389563962306440e+00
-2.517587939698492594e+00,1.720322367792621820e+00
-2.487437185929648464e+00,1.711080847059383014e+00
-2.457286432160803891e+00,1.665482818091692074e+00
-2.427135678391959761e+00,1.576411560566412406e+00
-2.396984924623115631e+00,1.334604911825461038e+00
-2.366834170854271502e+00,1.668687925085390544e+00
-2.336683417085427372e+00,1.615177130049565646e+00
-2.306532663316582799e+00,2.061529248461272168e+00
-2.276381909547738669e+00,2.527570743177210755e+00
-2.246231155778894539e+00,2.625758072596046766e+00
-2.216080402010050410e+00,2.601684078553442525e+00
-2.185929648241206280e+00,2.501095844496068032e+00
-2.155778894472361706e+00,2.397121465261432327e+00
-2.125628140703517577e+00,2.322125182132865451e+00
-2.095477386934673447e+00,2.291219122233463246e+00
-2.065326633165829318e+00,2.302405502040728802e+00
-2.035175879396985188e+00,2.337743049267865469e+00
-2.005025125628140614e+00,2.370166742281781591e+00
-1.974874371859296707e+00,2.370817686222162823e+00
-1.944723618090452355e+00,2.321472254698078164e+00
-1.914572864321608003e+00,2.210245961848726015e+00
-1.884422110552763874e+00,1.982095142317801706e+00
-1.854271356783919744e+00,2.162625646545345504e+00
-1.824120603015075615e+00,2.893791441184258684e+00
-1.793969849246231263e+00,3.039825503968252907e+00
-1.763819095477386911e+00,3.141613440619047459e+00
-1.733668341708542782e+00,3.198960922534910711e+00
-1.703517587939698874e+00,3.286608566608664628e+00
-1.673366834170854078e+00,3.429644903144337675e+00
-1.643216080402010171e+00,3.551580082790768422e+00
-1.613065326633166041e+00,3.584372750751262604e+00
-1.582914572864321689e+00,3.539476553362880917e+00
-1.552763819095477338e+00,3.470728864017959658e+00
-1.522613065326633208e+00,3.423169221460787170e+00
-1.492462311557789079e+00,3.418455597179416827e+00
-1.462311557788944727e+00,3.458556169882888387e+00
-1.432160804020100597e+00,3.532024668493022990e+00
-1.402010050251256246e+00,3.617988619505902559e+00
-1.371859296482412116e+00,3.692040286941912441e+00
-1.341708542713567986e+00,3.736620066850272703e+00
-1.311557788944723635e+00,3.736866786675865804e+00
-1.281407035175879505e+00,3.825599569074901840e+00
-1.251256281407035154e+00,4.245525598597535755e+00
-1.221105527638191024e+00,4.351848007229897064e+00
-1.190954773869346894e+00,4.386566791373544660e+00
-1.160804020100502543e+00,4.406496753998750293e+00
-1.130653266331658413e+00,4.407268497156485942e+00
-1.100502512562814061e+00,4.450358400231186451e+00
-1.070351758793969932e+00,4.510487983103868892e+00
-1.040201005025125802e+00,4.548699951844216827e+00
-1.010050251256281451e+00,4.528357232000933763e+00
-9.798994974874370989e-01,4.478982860238727604e+00
-9.497487437185930803e-01,4.458771516565489534e+00
-9.195979899497487287e-01,3.748581583812369278e+00
-8.894472361809045990e-01,3.640929261662523508e+00
-8.592964824120605805e-01,3.658223412341102598e+00
-8.291457286432158957e-01,3.584980127970859964e+00
-7.989949748743718771e-01,3.555312365285524301e+00
-7.688442211055277475e-01,3.547861413326492297e+00
-7.386934673366836179e-01,3.479968522515383356e+00
-7.085427135678394883e-01,2.683622810198944109e+00
-6.783919597989949146e-01,1.847117169774457279e+00
-6.482412060301507850e-01,1.951353933919081074e+00
-6.180904522613066554e-01,1.947574710557059108e+00
-5.879396984924625258e-01,1.944262331370359309e+00
-5.577889447236183962e-01,1.940694056161501146e+00
-5.276381909547738225e-01,1.936075010078219139e+00
-4.974874371859297484e-01,1.930023182421246375e+00
-4.673366834170855078e-01,1.922868004922404506e+00
-4.371859296482414337e-01,1.915765380440227927e+00
-4.070351758793973040e-01,1.910245113515883775e+00
-3.768844221105527303e-01,1.906775022605485592e+00
-3.467336683417086007e-01,1.900193486120493880e+00
-3.165829145728644711e-01,1.813193282305210596e+00
-2.864321608040203415e-01,9.852504523979074280e-01
-2.562814070351762119e-01,9.754138449323843663e-01
-2.261306532663316660e-01,9.516971487078349501e-01
-1.959798994974875086e-01,8.858606463513758467e-01
-1.658291457286433790e-01,7.667410480219298725e-03
-1.356783919597992494e-01,3.160356451028583684e-08
-1.055276381909546757e-01,3.022637856179822469e-09
-7.537688442211054607e-02,8.729529263666327266e-10
-4.522613065326641646e-02,4.386811913238962174e-10
-1.507537688442228685e-02,3.248183807725672448e-10
1.507537688442184276e-02,3.351977969452785173e-10
4.522613065326641646e-02,4.840994119821989284e-10
7.537688442211054607e-02,1.046345821370759872e-09
1.055276381909546757e-01,4.111909291457911683e-09
1.356783919597988053e-01,5.911265497894481287e-08
1.658291457286429349e-01,2.832004226483440454e-03
1.959798994974875086e-01,8.308196318247768053e-01
2.261306532663316660e-01,9.413964199342906847e-01
2.562814070351757678e-01,9.692775333731066256e-01
2.864321608040198974e-01,9.604632266579501421e-01
3.165829145728640270e-01,1.523524160137761818e+00
