Energy(eV),Transmission
-3.000000000000000444e+00,4.419658502005440407e-16
-2.969849246231155870e+00,1.773396149277100850e-14
-2.939698492462311741e+00,3.137071280542771697e-12
-2.909547738693467167e+00,2.151668243777383072e-03
-2.879396984924623037e+00,2.078169487164677753e-01
-2.849246231155778908e+00,8.259802503352616787e-01
-2.819095477386934778e+00,9.249647577803880028e-01
-2.788944723618090649e+00,9.690789512052692123e-01
-2.758793969849246075e+00,9.520812830392724191e-01
-2.728643216080401945e+00,9.596262466152972737e-01
-2.698492462311557816e+00,9.561311595513342088e-01
-2.668341708542713686e+00,1.733197882233072251e+00
-2.638190954773869557e+00,1.830603846754616404e+00
-2.608040201005024983e+00,1.869359905292175439e+00
-2.577889447236180853e+00,1.895805939134130647e+00
-2.547738693467336724e+00,1.907558614134855945e+00
-2.517587939698492594e+00,1.915515133325828234e+00
-2.487437185929648464e+00,1.928276094678096131e+00
-2.457286432160803891e+00,1.942602720010357276e+00
-2.427135678391959761e+00,1.948981564346244921e+00
-2.396984924623115631e+00,1.942767951516110259e+00
-2.366834170854271502e+00,1.927893219495543597e+00
-2.336683417085427372e+00,1.913088308832098017e+00
-2.306532663316582799e+00,2.149061202144738392e+00
-2.276381909547738669e+00,2.759113239492658742e+00
-2.246231155778894539e+00,2.771591093798420502e+00
-2.216080402010050410e+00,2.822404078137031647e+00
-2.185929648241206280e+00,2.821706166548289207e+00
-2.155778894472361706e+00,2.744427915075490443e+00
-2.125628140703517577e+00,2.645275629351238500e+00
-2.095477386934673447e+00,2.576853446233276834e+00
-2.065326633165829318e+00,2.558348260331480439e+00
-2.035175879396985188e+00,2.581245419849704348e+00
-2.005025125628140614e+00,2.619255964099847844e+00
-1.974874371859296707e+00,2.636663110014586753e+00
-1.944723618090452355e+00,2.607155167475370572e+00
-1.914572864321608003e+00,2.534228801048714175e+00
-1.884422110552763874e+00,2.395253563225977711e+00
-1.854271356783919744e+00,2.324800225244212371e+00
-1.824120603015075615e+00,3.015366197843273532e+00
-1.793969849246231263e+00,3.199289067962252986e+00
-1.763819095477386911e+00,3.325143677185615765e+00
-1.733668341708542782e+00,3.445183497917680526e+00
-1.703517587939698874e+00,3.527601704027927276e+00
-1.673366834170854078e+00,3.637444713112231387e+00
-1.643216080402010171e+00,3.736422433694206902e+00
-1.613065326633166041e+00,3.763020132590578548e+00
-1.582914572864321689e+00,3.715768924082281544e+00
-1.552763819095477338e+00,3.641977061683393302e+00
-1.522613065326633208e+00,3.588461214329641269e+00
-1.492462311557789079e+00,3.578682339337649232e+00
-1.462311557788944727e+00,3.614304247992120800e+00
-1.432160804020100597e+00,3.682244426111829672e+00
-1.402010050251256246e+00,3.760008520916279018e+00
-1.371859296482412116e+00,3.823059382723238642e+00
-1.341708542713567986e+00,3.856350352912715884e+00
-1.311557788944723635e+00,3.853397572687370598e+00
-1.281407035175879505e+00,3.928583909010072261e+00
-1.251256281407035154e+00,4.367783102816402696e+00
-1.221105527638191024e+00,4.468130851160920791e+00
-1.190954773869346894e+00,4.502475267364340894e+00
-1.160804020100502543e+00,4.543506117058391247e+00
-1.130653266331658413e+00,4.547779771984798103e+00
-1.100502512562814061e+00,4.580199390097341450e+00
-1.070351758793969932e+00,4.630745422590848648e+00
-1.040201005025125802e+00,4.663105276794022203e+00
-1.010050251256281451e+00,4.644007634174363908e+00
-9.798994974874370989e-01,4.597996713483975206e+00
-9.497487437185930803e-01,4.574213575304838741e+00
-9.195979899497487287e-01,3.860285329463743587e+00
-8.894472361809045990e-01,3.657949356458623402e+00
-8.592964824120605805e-01,3.750789694929828944e+00
-8.291457286432158957e-01,3.696098275698351365e+00
-7.989949748743718771e-01,3.691268531422116084e+00
-7.688442211055277475e-01,3.684594574219556051e+00
-7.386934673366836179e-01,3.572365137358011200e+00
-7.085427135678394883e-01,2.691910533812877038e+00
-6.783919597989949146e-01,1.915594619384843655e+00
-6.482412060301507850e-01,1.966831543362848045e+00
-6.180904522613066554e-01,1.970090695403905912e+00
-5.879396984924625258e-01,1.971015271857095463e+00
-5.577889447236183962e-01,1.971688253219982423e+00
-5.276381909547738225e-01,1.971681639343017878e+00
-4.974874371859297484e-01,1.970458150997858704e+00
-4.673366834170855078e-01,1.967937945919191245e+00
-4.371859296482414337e-01,1.964683758500118005e+00
-4.070351758793973040e-01,1.961338386787340626e+00
-3.768844221105527303e-01,1.956675236377155569e+00
-3.467336683417086007e-01,1.940216996185012199e+00
-3.165829145728644711e-01,1.776486491717913063e+00
-2.864321608040203415e-01,9.892776090498535124e-01
