Energy(eV),Transmission
-3.000000000000000444e+00,1.059504614505157530e-15
-2.969849246231155870e+00,5.215321184634786879e-14
-2.939698492462311741e+00,1.393032268215880259e-11
-2.909547738693467167e+00,8.506197042233804018e-02
-2.879396984924623037e+00,3.665889571406770187e-01
-2.849246231155778908e+00,3.810428436452247825e-01
-2.819095477386934778e+00,6.456188240948157464e-01
-2.788944723618090649e+00,8.224326564121652305e-01
-2.758793969849246075e+00,8.537337537232005946e-01
-2.728643216080401945e+00,7.961549179657003705e-01
-2.698492462311557816e+00,3.828418763784351420e-01
-2.668341708542713686e+00,1.533337396038119582e+00
-2.638190954773869557e+00,1.691497066333647048e+00
-2.608040201005024983e+00,1.731413376688327510e+00
-2.577889447236180853e+00,1.743929951332883199e+00
-2.547738693467336724e+00,1.752747387639184140e+00
-2.517587939698492594e+00,1.769404661904615983e+00
-2.487437185929648464e+00,1.798296282407204849e+00
-2.457286432160803891e+00,1.832775455411582488e+00
-2.427135678391959761e+00,1.858972748732565572e+00
-2.396984924623115631e+00,1.864521860164817024e+00
-2.366834170854271502e+00,1.757077720101929641e+00
-2.336683417085427372e+00,1.872023402203076392e+00
-2.306532663316582799e+00,2.093959935458363564e+00
-2.276381909547738669e+00,2.634202615060934338e+00
-2.246231155778894539e+00,2.633961372110744659e+00
-2.216080402010050410e+00,2.660268162318755625e+00
-2.185929648241206280e+00,2.631597317542597736e+00
-2.155778894472361706e+00,2.540987920077759643e+00
-2.125628140703517577e+00,2.450616735519592027e+00
-2.095477386934673447e+00,2.404613626125668535e+00
-2.065326633165829318e+00,2.411302463563848253e+00
-2.035175879396985188e+00,2.455152399577913869e+00
-2.005025125628140614e+00,2.503190629400748879e+00
-1.974874371859296707e+00,2.507762163772654596e+00
-1.944723618090452355e+00,2.404104023132886514e+00
-1.914572864321608003e+00,1.906884982764776248e+00
-1.884422110552763874e+00,2.400873910000251854e+00
-1.854271356783919744e+00,2.321251338678155918e+00
-1.824120603015075615e+00,2.631087151717040218e+00
-1.793969849246231263e+00,2.833489320721033877e+00
-1.763819095477386911e+00,3.108136680368291049e+00
-1.733668341708542782e+00,3.329616954529552864e+00
-1.703517587939698874e+00,3.447099645110907939e+00
-1.673366834170854078e+00,3.505147471796381531e+00
-1.643216080402010171e+00,3.516914120037682334e+00
-1.613065326633166041e+00,3.491713453086148444e+00
-1.582914572864321689e+00,3.444657988785037261e+00
-1.552763819095477338e+00,3.397532422114519335e+00
-1.522613065326633208e+00,3.373970297110083116e+00
-1.492462311557789079e+00,3.387413671414113203e+00
-1.462311557788944727e+00,3.435891956642202150e+00
-1.432160804020100597e+00,3.504393162073443424e+00
-1.402010050251256246e+00,3.570242001216078265e+00
-1.371859296482412116e+00,3.610913747623637704e+00
-1.341708542713567986e+00,3.605937832470565763e+00
-1.311557788944723635e+00,3.425459847410842418e+00
-1.281407035175879505e+00,3.747637532739463317e+00
-1.251256281407035154e+00,4.185934465064904408e+00
-1.221105527638191024e+00,4.247926295307315137e+00
-1.190954773869346894e+00,4.253093300525603304e+00
-1.160804020100502543e+00,4.249791365232729490e+00
-1.130653266331658413e+00,4.298876696367534223e+00
-1.100502512562814061e+00,4.373918162268841670e+00
-1.070351758793969932e+00,4.436137003797989919e+00
-1.040201005025125802e+00,4.458535724361239794e+00
-1.010050251256281451e+00,4.414235599982211156e+00
-9.798994974874370989e-01,4.354945892691997500e+00
-9.497487437185930803e-01,4.340775117229126678e+00
-9.195979899497487287e-01,3.713050015065690435e+00
-8.894472361809045990e-01,3.681781413664621194e+00
-8.592964824120605805e-01,3.673676797127332527e+00
-8.291457286432158957e-01,3.604401602720150422e+00
-7.989949748743718771e-01,3.596897623142045752e+00
-7.688442211055277475e-01,3.571210241612564396e+00
-7.386934673366836179e-01,3.382573147322818219e+00
-7.085427135678394883e-01,2.637365232800294113e+00
-6.783919597989949146e-01,1.932321967340328683e+00
-6.482412060301507850e-01,1.958745742492389530e+00
-6.180904522613066554e-01,1.961086277778313347e+00
-5.879396984924625258e-01,1.959920143291766115e+00
-5.577889447236183962e-01,1.957663967502917712e+00
-5.276381909547738225e-01,1.953918157209259654e+00
-4.974874371859297484e-01,1.948553154571515345e+00
-4.673366834170855078e-01,1.942118264676204742e+00
-4.371859296482414337e-01,1.935778029598393069e+00
-4.070351758793973040e-01,1.930574902011485738e+00
-3.768844221105527303e-01,1.925573160026454289e+00
-3.467336683417086007e-01,1.911262604824549127e+00
-3.165829145728644711e-01,1.763998488513486729e+00
-2.864321608040203415e-01,9.695662124561549300e-01
-2.562814070351762119e-01,9.707586335138439493e-01
-2.261306532663316660e-01,9.618351000932753303e-01
-1.959798994974875086e-01,9.221672087712602384e-01
-1.658291457286433790e-01,2.340382270985201952e-03
-1.356783919597992494e-01,2.567300782854706190e-08
-1.055276381909546757e-01,2.702309760042667748e-09
-7.537688442211054607e-02,8.151164000620361304e-10
-4.522613065326641646e-02,4.219909800404992072e-10
-1.507537688442228685e-02,3.203773534436064159e-10
1.507537688442184276e-02,3.388504495540278083e-10
4.522613065326641646e-02,5.032751369150743714e-10
7.537688442211054607e-02,1.129280188636353956e-09
1.055276381909546757e-01,4.727742777901705446e-09
1.356783919597988053e-01,8.268304408114357334e-08
1.658291457286429349e-01,3.780817601071240805e-05
1.959798994974875086e-01,7.546903855181855691e-01
2.261306532663316660e-01,8.930408926709259010e-01
2.562814070351757678e-01,9.408078040214580273e-01
2.864321608040198974e-01,9.575500317133801564e-01
3.165829145728640270e-01,1.724287613525216090e+00
3.467336683417086007e-01,1.911332208642488872e+00
3.768844221105527303e-01,1.930944204371092709e+00
4.070351758793969155e-01,1.934213762313508944e+00
4.371859296482409896e-01,1.933325021589295201e+00
4.673366834170851192e-01,1.930263244765386244e+00
4.974874371859297484e-01,1.925183232364832131e+00
5.276381909547738225e-01,1.918250022523588338e+00
5.577889447236179521e-01,1.909667140735959112e+00
5.879396984924620817e-01,1.898373672350535557e+00
6.180904522613062113e-01,1.875831669375977562e+00
6.482412060301507850e-01,1.660050942751509773e+00
6.783919597989949146e-01,1.751956190166989114e+00
7.085427135678390442e-01,2.605658863017495275e+00
7.386934673366831738e-01,3.440358096312067460e+00
7.688442211055274145e-01,3.479673480346578529e+00
7.989949748743718771e-01,3.502575103429098835e+00
8.291457286432158957e-01,3.505296644099006986e+00
8.592964824120602474e-01,3.499515652331683491e+00
8.894472361809043770e-01,3.199061260837144260e+00
9.195979899497483956e-01,3.743301802765504949e+00
9.497487437185930803e-01,4.397769429951595477e+00
9.798994974874370989e-01,4.418331825827491066e+00
1.010050251256281229e+00,4.440018679210076868e+00
1.040201005025125802e+00,4.448690754842497874e+00
1.070351758793969488e+00,4.440304053425570885e+00
1.100502512562814061e+00,4.435627972299743149e+00
1.130653266331657747e+00,4.433624077548381948e+00
1.160804020100502321e+00,4.371346235334098829e+00
1.190954773869346894e+00,4.258289182021425034e+00
