Energy(eV),Transmission
-3.000000000000000444e+00,1.449932885177876645e-15
-2.969849246231155870e+00,8.690193642754635943e-14
-2.939698492462311741e+00,1.353478954756675064e-08
-2.909547738693467167e+00,1.751084232346279135e-01
-2.879396984924623037e+00,3.402907600298010760e-01
-2.849246231155778908e+00,3.666156043513124629e-01
-2.819095477386934778e+00,6.345635620957158496e-01
-2.788944723618090649e+00,8.232211677175776954e-01
-2.758793969849246075e+00,8.790614619728021051e-01
-2.728643216080401945e+00,8.720760658544227661e-01
-2.698492462311557816e+00,8.074707875156434955e-01
-2.668341708542713686e+00,1.624590371402967914e+00
-2.638190954773869557e+00,1.703288722000098065e+00
-2.608040201005024983e+00,1.754874929750578127e+00
-2.577889447236180853e+00,1.805525853510647538e+00
-2.547738693467336724e+00,1.832820353800677982e+00
-2.517587939698492594e+00,1.841493956672421550e+00
-2.487437185929648464e+00,1.841550900085856091e+00
-2.457286432160803891e+00,1.827331054739325555e+00
-2.427135678391959761e+00,1.765207762062346308e+00
-2.396984924623115631e+00,1.547272840584862807e+00
-2.366834170854271502e+00,1.711641355017910149e+00
-2.336683417085427372e+00,1.803071966150802341e+00
-2.306532663316582799e+00,2.162001097187435494e+00
-2.276381909547738669e+00,2.415150035710794452e+00
-2.246231155778894539e+00,2.504033967644363923e+00
-2.216080402010050410e+00,2.605812660802746983e+00
-2.185929648241206280e+00,2.645402671249985183e+00
-2.155778894472361706e+00,2.613250251320658357e+00
-2.125628140703517577e+00,2.556554219197856970e+00
-2.095477386934673447e+00,2.516179565668198226e+00
-2.065326633165829318e+00,2.502635496302164420e+00
-2.035175879396985188e+00,2.503159958226515602e+00
-2.005025125628140614e+00,2.494965426988525081e+00
-1.974874371859296707e+00,2.456804931240363921e+00
-1.944723618090452355e+00,2.379734222127956489e+00
-1.914572864321608003e+00,2.260223557762217617e+00
-1.884422110552763874e+00,1.964860180423532388e+00
-1.854271356783919744e+00,2.144958564083468300e+00
-1.824120603015075615e+00,2.883202092158462015e+00
-1.793969849246231263e+00,2.912932263986627301e+00
-1.763819095477386911e+00,3.100379990723833412e+00
-1.733668341708542782e+00,3.260510170009966124e+00
-1.703517587939698874e+00,3.363911859169672613e+00
-1.673366834170854078e+00,3.482509065202836318e+00
-1.643216080402010171e+00,3.588616770069203099e+00
-1.613065326633166041e+00,3.628644689664230150e+00
-1.582914572864321689e+00,3.599952041436414341e+00
-1.552763819095477338e+00,3.547119703305268157e+00
-1.522613065326633208e+00,3.513549662677327490e+00
-1.492462311557789079e+00,3.516600010143758670e+00
-1.462311557788944727e+00,3.550712023266261674e+00
-1.432160804020100597e+00,3.595557166994391540e+00
-1.402010050251256246e+00,3.622911027495820058e+00
-1.371859296482412116e+00,3.602700699160624520e+00
-1.341708542713567986e+00,3.476580234891431420e+00
-1.311557788944723635e+00,3.193376896313518731e+00
-1.281407035175879505e+00,3.772419993558747464e+00
-1.251256281407035154e+00,4.053815811751854348e+00
-1.221105527638191024e+00,4.177759371642975061e+00
-1.190954773869346894e+00,4.237768542897555335e+00
-1.160804020100502543e+00,4.248824637173960639e+00
-1.130653266331658413e+00,4.277513604185680940e+00
-1.100502512562814061e+00,4.324936002092316656e+00
-1.070351758793969932e+00,4.346306286027475707e+00
-1.040201005025125802e+00,4.335535181591303022e+00
-1.010050251256281451e+00,4.323534865877144640e+00
-9.798994974874370989e-01,4.327833786324537080e+00
-9.497487437185930803e-01,4.342873781400309774e+00
-9.195979899497487287e-01,3.715001798554852019e+00
