Energy(eV),Transmission
-3.000000000000000444e+00,7.734948789159632013e-16
-2.969849246231155870e+00,3.485333363950292653e-14
-2.939698492462311741e+00,7.685642302702578058e-12
-2.909547738693467167e+00,9.627583054701301102e-03
-2.879396984924623037e+00,8.298477022620951438e-01
-2.849246231155778908e+00,6.747499515916836055e-01
-2.819095477386934778e+00,7.899211406537456348e-01
-2.788944723618090649e+00,8.628563729195459775e-01
-2.758793969849246075e+00,8.335773905767617231e-01
-2.728643216080401945e+00,6.385522292744403305e-01
-2.698492462311557816e+00,9.509994653107196605e-01
-2.668341708542713686e+00,1.467795693368703969e+00
-2.638190954773869557e+00,1.548982603494041044e+00
-2.608040201005024983e+00,1.575325843308774898e+00
-2.577889447236180853e+00,1.602372143790656178e+00
-2.547738693467336724e+00,1.621235665220712274e+00
-2.517587939698492594e+00,1.635789160766929706e+00
-2.487437185929648464e+00,1.654142722248301611e+00
-2.457286432160803891e+00,1.665358029716540234e+00
-2.427135678391959761e+00,1.623648828093344987e+00
-2.396984924623115631e+00,1.311038013760147614e+00
-2.366834170854271502e+00,1.614602272639968694e+00
-2.336683417085427372e+00,1.863768284859454782e+00
-2.306532663316582799e+00,2.136218946779820271e+00
-2.276381909547738669e+00,2.281372866764654450e+00
-2.246231155778894539e+00,2.357463420493174144e+00
-2.216080402010050410e+00,2.455801522993297237e+00
-2.185929648241206280e+00,2.495660310226651024e+00
-2.155778894472361706e+00,2.458154559935469941e+00
-2.125628140703517577e+00,2.391148942482953288e+00
-2.095477386934673447e+00,2.336454590540549159e+00
-2.065326633165829318e+00,2.308421532096732065e+00
-2.035175879396985188e+00,2.305555323090163533e+00
-2.005025125628140614e+00,2.313964761343187959e+00
-1.974874371859296707e+00,2.307419140272257252e+00
-1.944723618090452355e+00,2.260692531132060701e+00
-1.914572864321608003e+00,2.161151796994193131e+00
-1.884422110552763874e+00,1.970889493231611667e+00
-1.854271356783919744e+00,2.124769528676977881e+00
-1.824120603015075615e+00,2.782336878706136662e+00
-1.793969849246231263e+00,2.899369860543022259e+00
-1.763819095477386911e+00,3.073051188430315328e+00
-1.733668341708542782e+00,3.233687150293963697e+00
-1.703517587939698874e+00,3.333963005149446435e+00
-1.673366834170854078e+00,3.426395744504564078e+00
-1.643216080402010171e+00,3.491076084300141158e+00
-1.613065326633166041e+00,3.501531886546247474e+00
-1.582914572864321689e+00,3.466658604266843913e+00
-1.552763819095477338e+00,3.420005368623959541e+00
-1.522613065326633208e+00,3.394827552518482783e+00
-1.492462311557789079e+00,3.408185497873434056e+00
-1.462311557788944727e+00,3.460737979230302575e+00
-1.432160804020100597e+00,3.541690671448325389e+00
-1.402010050251256246e+00,3.631134454060610750e+00
-1.371859296482412116e+00,3.703757910134194642e+00
-1.341708542713567986e+00,3.740354793611842421e+00
-1.311557788944723635e+00,3.732509188578337689e+00
-1.281407035175879505e+00,3.767511035614377501e+00
-1.251256281407035154e+00,4.188083130978361268e+00
-1.221105527638191024e+00,4.445777607570239987e+00
-1.190954773869346894e+00,4.388337974392417351e+00
-1.160804020100502543e+00,4.390489631170912510e+00
-1.130653266331658413e+00,4.411525830593266306e+00
-1.100502512562814061e+00,4.460636337908352900e+00
-1.070351758793969932e+00,4.466987973855263583e+00
-1.040201005025125802e+00,4.454527525744912175e+00
-1.010050251256281451e+00,4.474139863764642122e+00
-9.798994974874370989e-01,4.470479545688601952e+00
-9.497487437185930803e-01,4.423836561834132652e+00
-9.195979899497487287e-01,3.712031838085263935e+00
-8.894472361809045990e-01,3.494687312890917941e+00
-8.592964824120605805e-01,3.603798509309979803e+00
-8.291457286432158957e-01,3.577443326526969614e+00
-7.989949748743718771e-01,3.547094475788042711e+00
-7.688442211055277475e-01,3.537301553932798548e+00
-7.386934673366836179e-01,3.480580635085086527e+00
-7.085427135678394883e-01,2.635321680172734826e+00
-6.783919597989949146e-01,1.824723553593319947e+00
-6.482412060301507850e-01,1.937878084359632824e+00
-6.180904522613066554e-01,1.932008488031875082e+00
-5.879396984924625258e-01,1.926335043219227439e+00
-5.577889447236183962e-01,1.921232277902104713e+00
-5.276381909547738225e-01,1.916386796422781869e+00
-4.974874371859297484e-01,1.911806582847595193e+00
-4.673366834170855078e-01,1.908066709473797085e+00
-4.371859296482414337e-01,1.906236701291876168e+00
-4.070351758793973040e-01,1.907196581708664684e+00
-3.768844221105527303e-01,1.909906725733381494e+00
-3.467336683417086007e-01,1.905273355621917020e+00
-3.165829145728644711e-01,1.776433552664396176e+00
-2.864321608040203415e-01,9.833752961314341512e-01
-2.562814070351762119e-01,9.783647918442046620e-01
-2.261306532663316660e-01,9.605954635375364425e-01
-1.959798994974875086e-01,9.031480764044101939e-01
-1.658291457286433790e-01,2.848046599086239295e-03
-1.356783919597992494e-01,2.939050319532357947e-08
-1.055276381909546757e-01,2.903641970795333747e-09
-7.537688442211054607e-02,8.467176941424510203e-10
-4.522613065326641646e-02,4.273339428797317847e-10
