Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1526.878    -1533.783        6.905   556.5
0.0010        -1526.819    -1533.310        6.491   523.1
0.0020        -1526.749    -1532.639        5.890   474.7
0.0030        -1526.573    -1531.962        5.389   434.3
0.0040        -1526.466    -1531.485        5.019   404.5
0.0050        -1526.288    -1531.309        5.021   404.6
0.0060        -1526.232    -1531.429        5.198   418.9
0.0070        -1526.285    -1531.762        5.477   441.4
0.0080        -1526.239    -1532.177        5.937   478.5
0.0090        -1526.374    -1532.589        6.215   500.9
0.0100        -1526.477    -1532.908        6.431   518.3
0.0110        -1526.515    -1533.075        6.560   528.6
0.0120        -1526.446    -1533.088        6.642   535.2
0.0130        -1526.651    -1532.986        6.335   510.5
0.0140        -1526.627    -1532.800        6.173   497.5
0.0150        -1526.666    -1532.605        5.939   478.6
0.0160        -1526.469    -1532.477        6.008   484.2
0.0170        -1526.617    -1532.449        5.832   470.0
0.0180        -1526.538    -1532.546        6.007   484.1
0.0190        -1526.375    -1532.734        6.360   512.5
0.0200        -1526.305    -1532.958        6.654   536.2
0.0210        -1526.417    -1533.101        6.684   538.6
0.0220        -1526.510    -1533.131        6.621   533.6
0.0230        -1526.606    -1532.982        6.377   513.9
0.0240        -1526.543    -1532.634        6.091   490.8
0.0250        -1526.495    -1532.174        5.679   457.6
0.0260        -1526.321    -1531.679        5.358   431.8
0.0270        -1526.199    -1531.262        5.063   408.0
0.0280        -1526.245    -1531.074        4.829   389.1
0.0290        -1526.146    -1531.122        4.976   401.0
0.0300        -1526.104    -1531.428        5.324   429.1
0.0310        -1525.940    -1531.858        5.919   477.0
0.0320        -1525.903    -1532.219        6.316   509.0
0.0330        -1525.806    -1532.400        6.594   531.4
0.0340        -1525.771    -1532.296        6.525   525.8
0.0350        -1525.591    -1531.972        6.381   514.2
0.0360        -1525.523    -1531.584        6.061   488.4
0.0370        -1525.377    -1531.281        5.904   475.8
0.0380        -1525.291    -1531.144        5.853   471.7
0.0390        -1525.214    -1531.268        6.054   487.9
0.0400        -1525.194    -1531.671        6.477   521.9
0.0410        -1525.594    -1532.209        6.615   533.1
0.0420        -1525.720    -1532.711        6.991   563.4
0.0430        -1525.691    -1533.043        7.352   592.5
0.0440        -1525.690    -1533.119        7.429   598.7
0.0450        -1525.560    -1532.959        7.399   596.3
0.0460        -1525.383    -1532.589        7.205   580.7
0.0470        -1524.899    -1532.128        7.229   582.6
0.0480        -1524.846    -1531.701        6.856   552.5
0.0490        -1524.910    -1531.409        6.499   523.7
0.0500        -1524.840    -1531.313        6.473   521.7
0.0510        -1524.873    -1531.338        6.466   521.0
0.0520        -1524.832    -1531.370        6.538   526.9
0.0530        -1524.762    -1531.321        6.559   528.6
0.0540        -1524.617    -1531.195        6.577   530.1
0.0550        -1524.679    -1531.033        6.353   512.0
0.0560        -1524.607    -1530.840        6.233   502.3
0.0570        -1524.531    -1530.692        6.161   496.5
0.0580        -1524.550    -1530.672        6.122   493.4
0.0590        -1524.430    -1530.778        6.347   511.5
0.0600        -1524.231    -1530.998        6.767   545.4
0.0610        -1524.204    -1531.292        7.087   571.2
0.0620        -1524.288    -1531.565        7.277   586.5
0.0630        -1524.062    -1531.743        7.681   619.0
0.0640        -1524.014    -1531.772        7.759   625.2
0.0650        -1523.825    -1531.572        7.747   624.3
0.0660        -1523.838    -1531.199        7.361   593.2
0.0670        -1523.651    -1530.781        7.130   574.6
0.0680        -1523.613    -1530.370        6.757   544.5
0.0690        -1523.671    -1530.021        6.350   511.8
0.0700        -1523.892    -1529.798        5.906   476.0
0.0710        -1523.860    -1529.774        5.915   476.6
0.0720        -1523.814    -1529.909        6.095   491.2
0.0730        -1523.644    -1530.183        6.539   527.0
0.0740        -1523.507    -1530.500        6.994   563.6
0.0750        -1523.371    -1530.818        7.447   600.1
0.0760        -1523.362    -1531.079        7.718   621.9
0.0770        -1523.458    -1531.221        7.763   625.6
0.0780        -1523.539    -1531.270        7.731   623.0
0.0790        -1523.534    -1531.226        7.692   619.9
0.0800        -1523.514    -1531.072        7.558   609.1
0.0810        -1523.425    -1530.828        7.403   596.6
0.0820        -1523.467    -1530.566        7.099   572.1
0.0830        -1523.579    -1530.377        6.798   547.8
0.0840        -1523.642    -1530.384        6.742   543.3
0.0850        -1523.653    -1530.558        6.904   556.4
0.0860        -1523.690    -1530.816        7.126   574.2
0.0870        -1523.703    -1531.087        7.383   595.0
0.0880        -1523.672    -1531.298        7.626   614.6
0.0890        -1523.683    -1531.360        7.676   618.6
0.0900        -1523.820    -1531.288        7.468   601.9
0.0910        -1523.725    -1531.157        7.432   598.9
0.0920        -1523.749    -1531.027        7.278   586.5
0.0930        -1523.866    -1530.948        7.082   570.7
0.0940        -1523.836    -1530.955        7.118   573.7
0.0950        -1523.685    -1531.032        7.347   592.0
0.0960        -1523.630    -1531.096        7.465   601.6
0.0970        -1523.558    -1531.141        7.583   611.1
0.0980        -1523.620    -1531.107        7.488   603.4
0.0990        -1523.531    -1530.956        7.425   598.4
0.1000        -1523.344    -1530.721        7.377   594.5
0.1010        -1523.297    -1530.482        7.185   579.0
0.1020        -1523.292    -1530.332        7.040   567.4
0.1030        -1523.343    -1530.310        6.967   561.4
0.1040        -1523.225    -1530.397        7.173   578.0
0.1050        -1523.170    -1530.523        7.353   592.5
0.1060        -1523.421    -1530.622        7.201   580.3
0.1070        -1523.346    -1530.675        7.329   590.7
0.1080        -1523.250    -1530.693        7.443   599.8
0.1090        -1523.302    -1530.642        7.340   591.5
0.1100        -1523.325    -1530.540        7.215   581.4
0.1110        -1523.431    -1530.487        7.056   568.6
0.1120        -1523.254    -1530.526        7.272   586.0
0.1130        -1523.140    -1530.589        7.449   600.3
0.1140        -1522.996    -1530.672        7.677   618.6
0.1150        -1522.998    -1530.760        7.762   625.5
0.1160        -1522.959    -1530.831        7.872   634.3
0.1170        -1522.947    -1530.840        7.893   636.1
0.1180        -1522.850    -1530.739        7.889   635.7
0.1190        -1523.042    -1530.626        7.584   611.2
0.1200        -1522.977    -1530.575        7.598   612.3
0.1210        -1523.047    -1530.589        7.542   607.8
0.1220        -1523.033    -1530.729        7.696   620.2
0.1230        -1523.193    -1530.952        7.759   625.3
0.1240        -1523.144    -1531.249        8.106   653.2
0.1250        -1523.147    -1531.570        8.424   678.8
0.1260        -1523.099    -1531.798        8.699   701.0
0.1270        -1523.126    -1531.882        8.757   705.7
0.1280        -1523.304    -1531.816        8.512   686.0
0.1290        -1523.402    -1531.604        8.202   660.9
0.1300        -1523.330    -1531.281        7.951   640.7
0.1310        -1523.153    -1530.928        7.775   626.6
0.1320        -1523.226    -1530.604        7.377   594.5
0.1330        -1523.344    -1530.425        7.082   570.7
0.1340        -1523.381    -1530.413        7.032   566.7
0.1350        -1523.253    -1530.518        7.265   585.5
0.1360        -1523.177    -1530.634        7.457   601.0
0.1370        -1523.333    -1530.700        7.367   593.7
0.1380        -1523.437    -1530.636        7.199   580.2
0.1390        -1523.281    -1530.444        7.163   577.3
0.1400        -1523.172    -1530.189        7.018   565.6
0.1410        -1523.151    -1530.021        6.870   553.7
0.1420        -1523.144    -1530.018        6.875   554.0
0.1430        -1523.365    -1530.198        6.833   550.6
0.1440        -1523.329    -1530.489        7.160   577.0
0.1450        -1523.328    -1530.838        7.510   605.2
0.1460        -1523.429    -1531.174        7.745   624.2
0.1470        -1523.442    -1531.425        7.983   643.4
0.1480        -1523.397    -1531.550        8.153   657.0
0.1490        -1523.586    -1531.519        7.933   639.3
0.1500        -1523.652    -1531.390        7.738   623.5
0.1510        -1523.633    -1531.260        7.626   614.6
0.1520        -1523.949    -1531.145        7.196   579.9
0.1530        -1523.690    -1531.113        7.423   598.2
0.1540        -1523.746    -1531.102        7.356   592.8
0.1550        -1523.687    -1531.106        7.419   597.9
0.1560        -1523.348    -1531.097        7.749   624.4
0.1570        -1523.315    -1531.020        7.705   620.9
0.1580        -1523.217    -1530.875        7.658   617.2
0.1590        -1523.152    -1530.738        7.585   611.3
0.1600        -1523.299    -1530.689        7.391   595.6
0.1610        -1523.355    -1530.740        7.386   595.2
0.1620        -1523.251    -1530.852        7.601   612.5
0.1630        -1523.049    -1530.963        7.913   637.7
0.1640        -1523.216    -1531.034        7.818   630.0
0.1650        -1523.478    -1531.099        7.622   614.2
0.1660        -1523.395    -1531.129        7.734   623.3
0.1670        -1523.392    -1531.107        7.715   621.7
0.1680        -1523.040    -1531.020        7.980   643.0
0.1690        -1523.162    -1530.826        7.665   617.7
0.1700        -1523.035    -1530.571        7.536   607.3
0.1710        -1522.919    -1530.245        7.326   590.4
0.1720        -1522.954    -1529.949        6.995   563.7
0.1730        -1522.923    -1529.700        6.778   546.2
0.1740        -1522.969    -1529.565        6.596   531.6
0.1750        -1523.009    -1529.589        6.580   530.3
0.1760        -1522.881    -1529.744        6.862   553.0
0.1770        -1522.956    -1530.015        7.059   568.8
0.1780        -1522.940    -1530.378        7.438   599.4
0.1790        -1522.927    -1530.746        7.819   630.1
0.1800        -1522.974    -1531.039        8.065   649.9
0.1810        -1523.001    -1531.167        8.165   658.0
0.1820        -1523.096    -1531.136        8.040   648.0
0.1830        -1523.215    -1531.020        7.805   629.0
0.1840        -1523.070    -1530.868        7.798   628.4
0.1850        -1523.047    -1530.705        7.658   617.1
0.1860        -1523.163    -1530.581        7.418   597.8
0.1870        -1523.200    -1530.518        7.318   589.7
0.1880        -1523.088    -1530.546        7.458   601.0
0.1890        -1522.998    -1530.629        7.631   615.0
0.1900        -1523.284    -1530.722        7.438   599.4
0.1910        -1523.207    -1530.788        7.581   611.0
0.1920        -1523.399    -1530.812        7.413   597.4
0.1930        -1523.357    -1530.848        7.490   603.6
0.1940        -1523.389    -1530.921        7.532   606.9
0.1950        -1523.462    -1530.991        7.529   606.8
0.1960        -1523.217    -1531.062        7.844   632.2
0.1970        -1523.056    -1531.108        8.053   648.9
0.1980        -1523.044    -1531.121        8.077   650.9
0.1990        -1522.999    -1531.052        8.053   649.0
0.2000        -1523.103    -1530.844        7.741   623.8
0.2010        -1523.182    -1530.532        7.350   592.3
0.2020        -1523.198    -1530.180        6.982   562.7
0.2030        -1522.956    -1529.880        6.924   558.0
0.2040        -1522.958    -1529.681        6.723   541.8
0.2050        -1522.922    -1529.640        6.718   541.4
0.2060        -1522.814    -1529.747        6.932   558.7
0.2070        -1522.656    -1529.938        7.282   586.8
0.2080        -1522.414    -1530.177        7.763   625.6
0.2090        -1522.437    -1530.379        7.942   640.0
0.2100        -1522.339    -1530.479        8.140   656.0
0.2110        -1522.452    -1530.436        7.984   643.4
0.2120        -1522.569    -1530.338        7.769   626.1
0.2130        -1522.617    -1530.270        7.652   616.7
0.2140        -1522.438    -1530.266        7.828   630.8
0.2150        -1522.309    -1530.326        8.018   646.1
0.2160        -1522.192    -1530.468        8.276   666.9
0.2170        -1522.182    -1530.695        8.513   686.1
0.2180        -1522.222    -1530.868        8.646   696.7
0.2190        -1522.206    -1530.881        8.675   699.1
0.2200        -1522.217    -1530.766        8.549   688.9
0.2210        -1522.382    -1530.538        8.155   657.2
0.2220        -1522.524    -1530.324        7.801   628.6
0.2230        -1522.215    -1530.259        8.044   648.3
0.2240        -1521.891    -1530.345        8.454   681.3
0.2250        -1522.179    -1530.440        8.261   665.7
0.2260        -1522.313    -1530.407        8.094   652.3
0.2270        -1522.118    -1530.310        8.193   660.2
0.2280        -1522.111    -1530.131        8.020   646.3
0.2290        -1522.256    -1529.923        7.666   617.8
0.2300        -1522.092    -1529.716        7.623   614.4
0.2310        -1521.889    -1529.536        7.647   616.2
0.2320        -1522.022    -1529.423        7.400   596.4
0.2330        -1522.030    -1529.405        7.374   594.3
0.2340        -1522.016    -1529.446        7.430   598.7
0.2350        -1522.022    -1529.507        7.486   603.3
0.2360        -1521.925    -1529.536        7.611   613.3
0.2370        -1521.806    -1529.496        7.689   619.7
0.2380        -1521.703    -1529.380        7.677   618.7
0.2390        -1521.528    -1529.227        7.699   620.4
0.2400        -1521.430    -1529.120        7.690   619.7
0.2410        -1521.406    -1529.082        7.677   618.6
0.2420        -1521.367    -1529.214        7.846   632.3
0.2430        -1521.395    -1529.444        8.048   648.6
0.2440        -1521.336    -1529.707        8.372   674.6
0.2450        -1521.515    -1529.970        8.455   681.3
0.2460        -1521.856    -1530.214        8.359   673.6
0.2470        -1522.017    -1530.445        8.428   679.2
0.2480        -1522.090    -1530.740        8.649   697.0
0.2490        -1522.220    -1531.070        8.851   713.2
0.2500        -1522.023    -1531.358        9.335   752.3
0.2510        -1521.987    -1531.465        9.478   763.8
0.2520        -1522.009    -1531.365        9.357   754.0
0.2530        -1522.140    -1531.038        8.898   717.1
0.2540        -1522.161    -1530.559        8.398   676.7
0.2550        -1522.104    -1530.061        7.958   641.3
0.2560        -1522.263    -1529.667        7.404   596.7
0.2570        -1522.336    -1529.486        7.150   576.2
0.2580        -1522.481    -1529.540        7.059   568.9
0.2590        -1522.536    -1529.805        7.269   585.8
0.2600        -1522.432    -1530.145        7.712   621.5
0.2610        -1522.588    -1530.440        7.852   632.7
0.2620        -1522.581    -1530.647        8.067   650.1
0.2630        -1522.704    -1530.730        8.027   646.9
0.2640        -1522.686    -1530.684        7.998   644.5
0.2650        -1522.774    -1530.566        7.792   628.0
0.2660        -1522.957    -1530.489        7.531   606.9
0.2670        -1522.917    -1530.526        7.609   613.2
0.2680        -1523.038    -1530.635        7.597   612.2
0.2690        -1523.006    -1530.819        7.813   629.6
0.2700        -1522.923    -1530.983        8.059   649.5
0.2710        -1522.849    -1531.052        8.203   661.0
0.2720        -1522.794    -1530.960        8.166   658.1
0.2730        -1522.715    -1530.732        8.017   646.1
0.2740        -1522.720    -1530.479        7.760   625.4
0.2750        -1522.758    -1530.332        7.574   610.4
0.2760        -1522.703    -1530.292        7.589   611.5
0.2770        -1522.779    -1530.392        7.612   613.5
0.2780        -1522.653    -1530.538        7.886   635.5
0.2790        -1522.923    -1530.650        7.726   622.6
0.2800        -1522.784    -1530.709        7.925   638.6
0.2810        -1522.892    -1530.670        7.779   626.9
0.2820        -1523.116    -1530.573        7.457   600.9
0.2830        -1523.100    -1530.428        7.329   590.6
0.2840        -1523.083    -1530.324        7.241   583.5
