# Length,R_Method1,R_Method2
# Params: T=300.0, E=0.5
5.000000000000000000e+00,1.304937940847246500e+04,1.305111217504072556e+04
6.000000000000000000e+00,1.354203434199963340e+04,1.356202822605667825e+04
7.000000000000000000e+00,1.440908650564538038e+04,1.449440857186296489e+04
8.000000000000000000e+00,1.527080857658963760e+04,1.542660393356372697e+04
9.000000000000000000e+00,1.606293136504511313e+04,1.623555776696609246e+04
1.000000000000000000e+01,1.675455538945546868e+04,1.697801445044546199e+04
1.100000000000000000e+01,1.671464316300123755e+04,1.685589060011541733e+04
1.200000000000000000e+01,1.624503860321372849e+04,1.637794265661209101e+04
1.300000000000000000e+01,1.594275023615452119e+04,1.603072559635102516e+04
1.400000000000000000e+01,1.505661822565660623e+04,1.514831157066705782e+04
1.500000000000000000e+01,1.443296199422823884e+04,1.451296479554185862e+04
1.600000000000000000e+01,1.370535779045564232e+04,1.374118756385690176e+04
1.700000000000000000e+01,1.353411370558173076e+04,1.355760857318817943e+04
1.800000000000000000e+01,1.389761406115484351e+04,1.396051981816142143e+04
1.900000000000000000e+01,1.467332887860429582e+04,1.490909618100187618e+04
2.000000000000000000e+01,1.507518420324483850e+04,1.528624151857070501e+04
2.100000000000000000e+01,1.604021959558675917e+04,1.639307867852022537e+04
2.200000000000000000e+01,1.679012685336211143e+04,1.717328112586431962e+04
2.300000000000000000e+01,1.697992244627061154e+04,1.725041792054395773e+04
2.400000000000000000e+01,1.669328014461072598e+04,1.690943267522204042e+04
2.500000000000000000e+01,1.651365880799856677e+04,1.690017410889389794e+04
2.600000000000000000e+01,1.569108514284725788e+04,1.601606326614115642e+04
2.700000000000000000e+01,1.507554169320725850e+04,1.533125308111079903e+04
2.800000000000000000e+01,1.468190517127367457e+04,1.487259735209180690e+04
2.900000000000000000e+01,1.433612180530117803e+04,1.447973037104741343e+04
3.000000000000000000e+01,1.441228273887474825e+04,1.454694094464893169e+04
3.100000000000000000e+01,1.463951686530034749e+04,1.488734533858950817e+04
3.200000000000000000e+01,1.510519105986794239e+04,1.534930040942505366e+04
3.300000000000000000e+01,1.607579652618213004e+04,1.648422982575112110e+04
3.400000000000000000e+01,1.673675843985706160e+04,1.750924715191750511e+04
3.500000000000000000e+01,1.778550615530906725e+04,1.885014473881772210e+04
3.600000000000000000e+01,1.735422775116975390e+04,1.794288677579228533e+04
3.700000000000000000e+01,1.712907484692654907e+04,1.795063711339673682e+04
3.800000000000000000e+01,1.655415460434306442e+04,1.696452918051570668e+04
3.900000000000000000e+01,1.552957854822412446e+04,1.590986921570059167e+04
4.000000000000000000e+01,1.602762649314341434e+04,1.668607759226409689e+04
4.100000000000000000e+01,1.453093474709793736e+04,1.473040080631444653e+04
4.200000000000000000e+01,1.554334565459663099e+04,1.588643657977568182e+04
4.300000000000000000e+01,1.602225170241940941e+04,1.683721708705931087e+04
4.400000000000000000e+01,1.543368804482379710e+04,1.588816185825384309e+04
4.500000000000000000e+01,1.626665446138014886e+04,1.738851912765864472e+04
4.600000000000000000e+01,1.640189856398729535e+04,1.717399065204915678e+04
4.700000000000000000e+01,1.760198151126508310e+04,1.874082281376065293e+04
4.800000000000000000e+01,1.702608371895567325e+04,1.781233145745089496e+04
5.000000000000000000e+01,1.734142276728738580e+04,1.888337194413938050e+04
