# Length,R_Method1,R_Method2
# Params: T=300.0, E=0.3
5.000000000000000000e+00,3.749198526894862061e+11,3.779176867091646729e+11
6.000000000000000000e+00,5.559530842805527344e+11,5.707429591331989746e+11
7.000000000000000000e+00,8.349208613786683350e+11,8.578971502374676514e+11
8.000000000000000000e+00,1.220367076474550049e+12,1.261517944376638916e+12
9.000000000000000000e+00,1.771165801749059570e+12,1.928444338279748779e+12
1.000000000000000000e+01,2.570688550606799316e+12,2.816119791284219238e+12
1.100000000000000000e+01,3.897143421007357910e+12,4.170621656859895508e+12
1.200000000000000000e+01,5.778913329801668945e+12,6.281593569886784180e+12
1.300000000000000000e+01,8.381575873337817383e+12,9.119815311497298828e+12
1.400000000000000000e+01,1.265568280440679102e+13,1.364266348997976562e+13
1.500000000000000000e+01,1.791556264608994531e+13,2.042528720587674219e+13
1.600000000000000000e+01,2.624374325462711719e+13,3.082686341624898047e+13
1.700000000000000000e+01,3.699333879509709375e+13,4.394908866344147656e+13
1.800000000000000000e+01,5.641242744652618750e+13,6.436816076070292188e+13
1.900000000000000000e+01,8.291372208890734375e+13,9.998572536855145312e+13
2.000000000000000000e+01,1.143422651915961719e+14,1.639589633105950000e+14
2.100000000000000000e+01,1.711585734056718125e+14,2.140380334317859375e+14
2.200000000000000000e+01,2.644344016660962812e+14,3.189303951726340625e+14
2.300000000000000000e+01,3.929246923195814375e+14,4.618943886113622500e+14
2.400000000000000000e+01,5.488842558859415000e+14,7.119630908355425000e+14
2.500000000000000000e+01,7.921081448199023750e+14,1.089236101481984500e+15
2.600000000000000000e+01,1.088573547509252250e+15,1.615044150834962000e+15
2.700000000000000000e+01,1.736405501937308500e+15,2.367577789812665000e+15
2.800000000000000000e+01,2.409456906588237000e+15,3.550008650601379500e+15
2.900000000000000000e+01,3.797050025503260000e+15,5.091784734183746000e+15
3.000000000000000000e+01,5.203764671893749000e+15,7.005501506066047000e+15
3.100000000000000000e+01,7.354495236669658000e+15,9.201494006254924000e+15
3.200000000000000000e+01,1.169402464548917400e+16,1.114617465595288600e+16
3.300000000000000000e+01,nan,1.198683342590134800e+16
3.400000000000000000e+01,nan,1.277926685913063800e+16
3.500000000000000000e+01,nan,1.278471407779621800e+16
3.600000000000000000e+01,nan,1.283130310101486600e+16
3.700000000000000000e+01,nan,1.289868861240301800e+16
3.800000000000000000e+01,nan,1.290600000000000000e+16
3.900000000000000000e+01,nan,1.290600000000000000e+16
4.000000000000000000e+01,nan,1.290600000000000000e+16
4.100000000000000000e+01,nan,1.290600000000000000e+16
4.200000000000000000e+01,nan,1.290600000000000000e+16
4.300000000000000000e+01,nan,1.290600000000000000e+16
4.400000000000000000e+01,nan,1.290600000000000000e+16
4.500000000000000000e+01,nan,1.290600000000000000e+16
4.600000000000000000e+01,nan,1.290600000000000000e+16
4.700000000000000000e+01,nan,1.290600000000000000e+16
4.800000000000000000e+01,nan,1.290600000000000000e+16
5.000000000000000000e+01,nan,1.290600000000000000e+16
