# Length,R_Method1,R_Method2
# Params: T=300.0, E=0.2
5.000000000000000000e+00,9.909170524352520752e+11,9.960599130026956787e+11
6.000000000000000000e+00,1.694162601027429688e+12,1.722868812574414062e+12
7.000000000000000000e+00,2.915061311508044922e+12,2.967374962081711914e+12
8.000000000000000000e+00,4.909997933868375000e+12,5.013751513586653320e+12
9.000000000000000000e+00,8.258538737207433594e+12,8.711265600814644531e+12
1.000000000000000000e+01,1.381084460316895312e+13,1.461426440407944531e+13
1.100000000000000000e+01,2.380315038157969141e+13,2.482408429684994531e+13
1.200000000000000000e+01,4.053279465140664844e+13,4.266764861209662500e+13
1.300000000000000000e+01,6.776068341181714062e+13,7.124985428028748438e+13
1.400000000000000000e+01,1.163760641977227500e+14,1.218309653625951562e+14
1.500000000000000000e+01,1.926572668665940938e+14,2.082693321788160000e+14
1.600000000000000000e+01,3.244274203954566250e+14,3.574505843211583750e+14
1.700000000000000000e+01,5.323702207649490625e+14,5.886081617356688750e+14
1.800000000000000000e+01,9.189116816942395000e+14,9.924766955930660000e+14
1.900000000000000000e+01,1.554825542270937000e+15,1.737995840439799500e+15
2.000000000000000000e+01,2.523370100791223500e+15,3.139909735736083000e+15
2.100000000000000000e+01,4.302969897927223000e+15,4.900934353527873000e+15
2.200000000000000000e+01,7.509332951288081000e+15,8.237956082448662000e+15
2.300000000000000000e+01,1.273660913793235400e+16,1.168234923668156400e+16
2.400000000000000000e+01,nan,1.275254994196030400e+16
2.500000000000000000e+01,nan,1.290591825168736400e+16
2.600000000000000000e+01,nan,1.290600000000000000e+16
2.700000000000000000e+01,nan,1.290600000000000000e+16
2.800000000000000000e+01,nan,1.290600000000000000e+16
2.900000000000000000e+01,nan,1.290600000000000000e+16
3.000000000000000000e+01,nan,1.290600000000000000e+16
3.100000000000000000e+01,nan,1.290600000000000000e+16
3.200000000000000000e+01,nan,1.290600000000000000e+16
3.300000000000000000e+01,nan,1.290600000000000000e+16
3.400000000000000000e+01,nan,1.290600000000000000e+16
3.500000000000000000e+01,nan,1.290600000000000000e+16
3.600000000000000000e+01,nan,1.290600000000000000e+16
3.700000000000000000e+01,nan,1.290600000000000000e+16
3.800000000000000000e+01,nan,1.290600000000000000e+16
3.900000000000000000e+01,nan,1.290600000000000000e+16
4.000000000000000000e+01,nan,1.290600000000000000e+16
4.100000000000000000e+01,nan,1.290600000000000000e+16
4.200000000000000000e+01,nan,1.290600000000000000e+16
4.300000000000000000e+01,nan,1.290600000000000000e+16
4.400000000000000000e+01,nan,1.290600000000000000e+16
4.500000000000000000e+01,nan,1.290600000000000000e+16
4.600000000000000000e+01,nan,1.290600000000000000e+16
4.700000000000000000e+01,nan,1.290600000000000000e+16
4.800000000000000000e+01,nan,1.290600000000000000e+16
5.000000000000000000e+01,nan,1.290600000000000000e+16
