# Length,R_Method1,R_Method2
# Params: T=300.0, E=0.2
5.000000000000000000e+00,9.902478609861375732e+11,9.945898441903039551e+11
6.000000000000000000e+00,1.702106300095094482e+12,1.717254241848038574e+12
7.000000000000000000e+00,2.876195837044202637e+12,2.936917039321280762e+12
8.000000000000000000e+00,4.904339032835485352e+12,5.048943507181981445e+12
9.000000000000000000e+00,8.305357431558289062e+12,8.635611842767030273e+12
1.000000000000000000e+01,1.400961766127510547e+13,1.463713712401828516e+13
1.100000000000000000e+01,2.355026825728896484e+13,2.471383809419863672e+13
1.200000000000000000e+01,3.912289264075503125e+13,4.336335753786470312e+13
1.300000000000000000e+01,6.855045841886031250e+13,7.237802338009696875e+13
1.400000000000000000e+01,1.135093126109340312e+14,1.222395358527114531e+14
1.500000000000000000e+01,1.932442474749224062e+14,2.037523001270554688e+14
1.600000000000000000e+01,3.229450870546791875e+14,3.485648497624656875e+14
1.700000000000000000e+01,5.475000353553468125e+14,5.851860004609792500e+14
1.800000000000000000e+01,9.327408025956452500e+14,1.019190081698938500e+15
1.900000000000000000e+01,1.553259899549401750e+15,1.701743204542818750e+15
2.000000000000000000e+01,2.629939110748682500e+15,2.930949053388636000e+15
2.100000000000000000e+01,4.350265460946964500e+15,4.922400908642902000e+15
2.200000000000000000e+01,7.364576246463255000e+15,8.069312369514301000e+15
2.300000000000000000e+01,1.241578752080637600e+16,1.153258429946800400e+16
2.400000000000000000e+01,nan,1.282193135067452400e+16
2.500000000000000000e+01,nan,1.289953350650741200e+16
2.600000000000000000e+01,nan,1.290600000000000000e+16
2.700000000000000000e+01,nan,1.290600000000000000e+16
2.800000000000000000e+01,nan,1.290600000000000000e+16
2.900000000000000000e+01,nan,1.290600000000000000e+16
3.000000000000000000e+01,nan,1.290600000000000000e+16
3.100000000000000000e+01,nan,1.290600000000000000e+16
3.200000000000000000e+01,nan,1.290600000000000000e+16
3.300000000000000000e+01,nan,1.290600000000000000e+16
3.400000000000000000e+01,nan,1.290600000000000000e+16
3.500000000000000000e+01,nan,1.290600000000000000e+16
3.600000000000000000e+01,nan,1.290600000000000000e+16
3.700000000000000000e+01,nan,1.290600000000000000e+16
3.800000000000000000e+01,nan,1.290600000000000000e+16
3.900000000000000000e+01,nan,1.290600000000000000e+16
4.000000000000000000e+01,nan,1.290600000000000000e+16
4.100000000000000000e+01,nan,1.290600000000000000e+16
4.200000000000000000e+01,nan,1.290600000000000000e+16
4.300000000000000000e+01,nan,1.290600000000000000e+16
4.400000000000000000e+01,nan,1.290600000000000000e+16
4.500000000000000000e+01,nan,1.290600000000000000e+16
4.600000000000000000e+01,nan,1.290600000000000000e+16
4.700000000000000000e+01,nan,1.290600000000000000e+16
4.800000000000000000e+01,nan,1.290600000000000000e+16
5.000000000000000000e+01,nan,1.290600000000000000e+16
