# Length,R_Method1,R_Method2
# Params: T=300.0, E=4.0
5.000000000000000000e+00,3.274043563651007389e+03,3.274100449901101001e+03
6.000000000000000000e+00,3.319835447707337153e+03,3.320035672304417858e+03
7.000000000000000000e+00,3.374119682418633602e+03,3.374592557328390285e+03
8.000000000000000000e+00,3.424094838829033961e+03,3.424631471330103977e+03
9.000000000000000000e+00,3.516294681080969440e+03,3.517396278216003338e+03
1.000000000000000000e+01,3.621161938699772236e+03,3.623004777553060194e+03
1.100000000000000000e+01,3.713222871230773762e+03,3.715737166796328438e+03
1.200000000000000000e+01,3.809994985820746933e+03,3.813583521665345415e+03
1.300000000000000000e+01,3.930332889262192566e+03,3.934070946639933936e+03
1.400000000000000000e+01,4.059121559810164854e+03,4.063842468695746902e+03
1.500000000000000000e+01,4.201438618642728215e+03,4.206191993879784604e+03
1.600000000000000000e+01,4.331497101478021250e+03,4.339345044346030591e+03
1.700000000000000000e+01,4.455569461617684283e+03,4.463798993129502378e+03
1.800000000000000000e+01,4.608638154377989849e+03,4.617351539884478370e+03
1.900000000000000000e+01,4.755783278238169260e+03,4.764722323204408895e+03
2.000000000000000000e+01,4.913296860387604283e+03,4.927516035899415328e+03
2.100000000000000000e+01,5.051637474812107939e+03,5.063015227676091854e+03
2.200000000000000000e+01,5.178698067771269962e+03,5.188436353196266282e+03
2.300000000000000000e+01,5.363166015046213943e+03,5.374882326286921852e+03
2.400000000000000000e+01,5.424604430830923775e+03,5.435578922838043582e+03
2.500000000000000000e+01,5.588988787454507474e+03,5.598919641597008194e+03
2.600000000000000000e+01,5.659469492991119296e+03,5.669948146717936652e+03
2.700000000000000000e+01,5.788603270030046588e+03,5.798112027917418345e+03
2.800000000000000000e+01,5.921747139166459419e+03,5.931963653910534958e+03
2.900000000000000000e+01,6.013749055192886772e+03,6.026642934350779797e+03
3.000000000000000000e+01,6.083914494768215263e+03,6.094311963762607775e+03
3.100000000000000000e+01,6.231409493349607146e+03,6.245105069220351652e+03
3.200000000000000000e+01,6.301296017486679375e+03,6.315736909104438382e+03
3.300000000000000000e+01,6.324928745599016111e+03,6.337477366464338047e+03
3.400000000000000000e+01,6.436433657338980083e+03,6.448583853279675168e+03
3.500000000000000000e+01,6.529685363653031345e+03,6.543020434188951185e+03
3.600000000000000000e+01,6.555918538124264160e+03,6.569398261558008926e+03
3.700000000000000000e+01,6.625476143779539598e+03,6.639303961595444889e+03
3.800000000000000000e+01,6.664804848886788022e+03,6.676481181423974704e+03
3.900000000000000000e+01,6.747678342668022196e+03,6.773422092991010686e+03
4.000000000000000000e+01,6.910863360589695731e+03,6.932261792446714026e+03
4.100000000000000000e+01,6.838274563131059040e+03,6.851999113550474249e+03
4.200000000000000000e+01,6.829529977207416778e+03,6.851746686088201386e+03
4.300000000000000000e+01,6.888905596598418015e+03,6.907897481471257379e+03
4.400000000000000000e+01,6.959991731702987636e+03,6.982953017069743510e+03
4.500000000000000000e+01,7.000322927530912239e+03,7.022186789479482286e+03
4.600000000000000000e+01,6.948185625972745584e+03,6.966638296901275680e+03
4.700000000000000000e+01,7.012947862657648329e+03,7.040036548573795699e+03
4.800000000000000000e+01,6.973798704207242736e+03,6.995591472749751119e+03
5.000000000000000000e+01,7.114607639902670599e+03,7.146666568316994926e+03
