# Length,R_Method1,R_Method2
# Params: T=300.0, E=0.4
5.000000000000000000e+00,3.564881768271620178e+10,3.628169294765811920e+10
6.000000000000000000e+00,3.895247250769431305e+10,4.055400200677174377e+10
7.000000000000000000e+00,4.019464386024230194e+10,4.477775841604991150e+10
8.000000000000000000e+00,4.193803871010922241e+10,4.971932036948731232e+10
9.000000000000000000e+00,4.172497111219303131e+10,5.421910939928861237e+10
1.000000000000000000e+01,3.974732294198037720e+10,5.700486851996494293e+10
1.100000000000000000e+01,3.680795533335880280e+10,5.980852204166382599e+10
1.200000000000000000e+01,1.407123494959595203e+09,7.367528194416485596e+10
1.300000000000000000e+01,3.321017742431511688e+10,6.702704818573877716e+10
1.400000000000000000e+01,1.844345070158933258e+10,7.014682583022291565e+10
1.500000000000000000e+01,7.168422268553981781e+08,6.352739927417427063e+10
1.600000000000000000e+01,6.111565341077166796e+08,7.120675369848168945e+10
1.700000000000000000e+01,3.867248743732655644e+08,6.799922512660760498e+10
1.800000000000000000e+01,4.502168808816944361e+08,7.682679378715968323e+10
1.900000000000000000e+01,2.021532188112308979e+08,7.059039636757136536e+10
2.000000000000000000e+01,2.304364421498375833e+08,7.911923030137167358e+10
2.100000000000000000e+01,5.717288121967170238e+08,8.962147670662782288e+10
2.200000000000000000e+01,2.915260511248597503e+08,7.638225156204452515e+10
2.300000000000000000e+01,1.994929014845487773e+08,1.066519801196508331e+11
2.400000000000000000e+01,2.836301560907275677e+08,7.424928636387959290e+10
2.500000000000000000e+01,2.994133768988661766e+08,1.169891956291650085e+11
2.600000000000000000e+01,6.866279853883800507e+08,1.997714810963730164e+11
2.700000000000000000e+01,3.592161519002658129e+08,1.523411327442070007e+11
2.800000000000000000e+01,3.266359727808037996e+08,8.829898641653921509e+10
2.900000000000000000e+01,3.874760625923203826e+08,2.351021006114557190e+11
3.000000000000000000e+01,7.028986047296892405e+08,1.734089450326773682e+11
3.100000000000000000e+01,7.622417714472774267e+08,1.441341189490790405e+11
3.200000000000000000e+01,5.146977326539406776e+08,1.650765110575909729e+11
3.300000000000000000e+01,8.713744317901613712e+08,4.539228464288147583e+11
3.400000000000000000e+01,1.212077575905937195e+09,2.797652497254601440e+11
3.500000000000000000e+01,1.669538701996499777e+09,1.916532560383831482e+11
3.600000000000000000e+01,1.244823917197093010e+09,6.596606131700233154e+11
3.700000000000000000e+01,1.088869364222084999e+09,5.047912024512659302e+11
3.800000000000000000e+01,1.566933405933173895e+09,3.646813955707383423e+11
3.900000000000000000e+01,6.740968673710597754e+08,5.256473099807411133e+12
4.000000000000000000e+01,1.693116415730776548e+09,9.148936866960894531e+12
4.100000000000000000e+01,9.853461938853412867e+08,1.408184407990031641e+13
4.200000000000000000e+01,8.430699651117203236e+08,2.438472950479101074e+12
4.300000000000000000e+01,2.928980720325795174e+09,6.745914048313319336e+12
4.400000000000000000e+01,4.890761738842838287e+09,1.291733892569922461e+13
4.500000000000000000e+01,7.170196668719298840e+08,3.283674242239877441e+12
4.600000000000000000e+01,1.254887620221294165e+09,2.314680801130550000e+13
4.700000000000000000e+01,9.674976616177154779e+08,3.030607035696249609e+13
4.800000000000000000e+01,8.678172731542276144e+08,2.764841058806889453e+13
5.000000000000000000e+01,9.067756590279746056e+08,5.935725276521559375e+13
