# Length,R_Method1,R_Method2
# Params: T=300.0, E=3
5.000000000000000000e+00,2.632310809134905867e+03,2.632406233049031471e+03
6.000000000000000000e+00,2.685613168978019985e+03,2.685936601649119893e+03
7.000000000000000000e+00,2.704307968865233761e+03,2.704814777397205944e+03
8.000000000000000000e+00,2.738322368440262380e+03,2.739258889823390746e+03
9.000000000000000000e+00,2.765371707675985363e+03,2.766343793308446948e+03
1.000000000000000000e+01,2.810462451330118256e+03,2.811628189829912117e+03
1.100000000000000000e+01,2.872540901754131937e+03,2.874729492961605956e+03
1.200000000000000000e+01,2.917223149157192893e+03,2.919838022347292281e+03
1.300000000000000000e+01,2.955891816738677335e+03,2.958888083644818380e+03
1.400000000000000000e+01,2.995593206019808349e+03,2.999567031632187536e+03
1.500000000000000000e+01,3.072475366825028232e+03,3.076809741399119503e+03
1.600000000000000000e+01,3.049059273655578181e+03,3.053581568910633450e+03
1.700000000000000000e+01,3.143270751945161919e+03,3.148714545386905229e+03
1.800000000000000000e+01,3.162714369002315834e+03,3.169174070570722051e+03
1.900000000000000000e+01,3.209054172817404833e+03,3.214235276940096355e+03
2.000000000000000000e+01,3.195972106666626132e+03,3.202496001043164597e+03
2.100000000000000000e+01,3.312691850209585482e+03,3.321504478495888179e+03
2.200000000000000000e+01,3.303786786080747333e+03,3.312102970125194133e+03
2.300000000000000000e+01,3.407573491103799370e+03,3.418096819804255119e+03
2.400000000000000000e+01,3.414053955103307089e+03,3.423252467969069130e+03
2.500000000000000000e+01,3.492341555922849693e+03,3.504463777267899786e+03
2.600000000000000000e+01,3.469035733535585223e+03,3.478211963838220527e+03
2.700000000000000000e+01,3.520019082574082404e+03,3.532782410352711395e+03
2.800000000000000000e+01,3.638133366640377972e+03,3.653863515962799283e+03
2.900000000000000000e+01,3.612920414477763643e+03,3.629702836338127781e+03
3.000000000000000000e+01,3.676494188238208153e+03,3.687703214459179435e+03
3.100000000000000000e+01,3.730781733237739445e+03,3.750798539456231993e+03
3.200000000000000000e+01,3.745830595961934250e+03,3.763099915067349230e+03
3.300000000000000000e+01,3.775991578486596154e+03,3.790408007071342581e+03
3.400000000000000000e+01,3.785122780639266239e+03,3.802815622736267869e+03
3.500000000000000000e+01,3.863331578410105521e+03,3.886428934246224344e+03
3.600000000000000000e+01,3.832022386308778550e+03,3.855309978699063777e+03
3.700000000000000000e+01,3.919279912354468706e+03,3.945162134468595468e+03
3.800000000000000000e+01,4.066067748221507372e+03,4.093604294790893164e+03
3.900000000000000000e+01,4.149380788235717773e+03,4.175735765063535837e+03
4.000000000000000000e+01,4.107474128068963182e+03,4.135170496380776058e+03
4.100000000000000000e+01,4.139693484009296299e+03,4.168677433555408243e+03
4.200000000000000000e+01,4.169733801538342050e+03,4.205331987083671265e+03
4.300000000000000000e+01,4.255063234171072509e+03,4.292288704163522198e+03
4.400000000000000000e+01,4.234658284283357716e+03,4.263394501021689393e+03
4.500000000000000000e+01,4.215248263977448914e+03,4.257114891135824109e+03
4.600000000000000000e+01,4.347402600338014963e+03,4.389086099223346537e+03
4.700000000000000000e+01,4.284314980729206582e+03,4.316464420701447125e+03
4.800000000000000000e+01,4.301690659846051858e+03,4.341583631762129698e+03
5.000000000000000000e+01,4.531482684369078925e+03,4.581878671521551951e+03
