# Length,R_Method1,R_Method2
# Params: T=300.0, E=2.0
5.000000000000000000e+00,3.415445756303832695e+03,3.416525169484284561e+03
6.000000000000000000e+00,3.503714891356537464e+03,3.504924727091501154e+03
7.000000000000000000e+00,3.447971425598886981e+03,3.449951543126239358e+03
8.000000000000000000e+00,3.517523163040566487e+03,3.520260309452870388e+03
9.000000000000000000e+00,3.586472158461375329e+03,3.590618766731263804e+03
1.000000000000000000e+01,3.608744649484265210e+03,3.615628283513317001e+03
1.100000000000000000e+01,3.735231255167696418e+03,3.742941480641571161e+03
1.200000000000000000e+01,3.804249016711932200e+03,3.811221229321230112e+03
1.300000000000000000e+01,3.761184952973177587e+03,3.769614642828750220e+03
1.400000000000000000e+01,3.787813961100011966e+03,3.797730390551826076e+03
1.500000000000000000e+01,3.857391158126756181e+03,3.866506895275956595e+03
1.600000000000000000e+01,3.777509145254735813e+03,3.787293189483903006e+03
1.700000000000000000e+01,3.988975359183869841e+03,4.004010749096144991e+03
1.800000000000000000e+01,3.987241443366849580e+03,3.998699872621019949e+03
1.900000000000000000e+01,4.008227322076920700e+03,4.024342783008415154e+03
2.000000000000000000e+01,4.036388306002781519e+03,4.052156761179002842e+03
2.100000000000000000e+01,4.128513201709798523e+03,4.146675026450889163e+03
2.200000000000000000e+01,4.175699458373248490e+03,4.193587905919521290e+03
2.300000000000000000e+01,4.226849947219548994e+03,4.243343428728087929e+03
2.400000000000000000e+01,4.168381798946208619e+03,4.191158294032036792e+03
2.500000000000000000e+01,4.363926032966173807e+03,4.384085967271670597e+03
2.600000000000000000e+01,4.389949751463200300e+03,4.422018511974333705e+03
2.700000000000000000e+01,4.369172198285066770e+03,4.394781009093310786e+03
2.800000000000000000e+01,4.495249973368008796e+03,4.519932361283938917e+03
2.900000000000000000e+01,4.490000275635649814e+03,4.520841414788458678e+03
3.000000000000000000e+01,4.397552613130715145e+03,4.420050537927771074e+03
3.100000000000000000e+01,4.528360866714244366e+03,4.553886221775921513e+03
3.200000000000000000e+01,4.566960783712196644e+03,4.595191729342595863e+03
3.300000000000000000e+01,4.773409937738712870e+03,4.812094315620694942e+03
3.400000000000000000e+01,4.740724447857065570e+03,4.786268363190252785e+03
3.500000000000000000e+01,4.665566329605031569e+03,4.706706482056188179e+03
3.600000000000000000e+01,4.700171155507357980e+03,4.734203798554750392e+03
3.700000000000000000e+01,4.690162850503601476e+03,4.725114441148498372e+03
3.800000000000000000e+01,4.917160273041425171e+03,4.955778991979903367e+03
3.900000000000000000e+01,4.783885475935216164e+03,4.819974282762655093e+03
4.000000000000000000e+01,5.013814856910531489e+03,5.074369267545914227e+03
4.100000000000000000e+01,4.890013203156205236e+03,4.931810447147779996e+03
4.200000000000000000e+01,5.038290869175367334e+03,5.090637807740949029e+03
4.300000000000000000e+01,5.078753041957852474e+03,5.132290684293293452e+03
4.400000000000000000e+01,5.040240049215546605e+03,5.085869917955194069e+03
4.500000000000000000e+01,4.843761369228838703e+03,4.887853417600969806e+03
4.600000000000000000e+01,5.075235004277452390e+03,5.122469120755766198e+03
4.700000000000000000e+01,5.246625307745911414e+03,5.311003398900279535e+03
4.800000000000000000e+01,5.201152022503069020e+03,5.258644513899208505e+03
5.000000000000000000e+01,5.362411078775264286e+03,5.421707183955928485e+03
