# Length,R_Method1,R_Method2
# Params: T=300.0, E=4
5.000000000000000000e+00,3.274834056793593390e+03,3.274900018705302045e+03
6.000000000000000000e+00,3.319344084792964168e+03,3.319535537886206384e+03
7.000000000000000000e+00,3.374867886015465501e+03,3.375228829366121317e+03
8.000000000000000000e+00,3.445000287218429548e+03,3.445689721245050805e+03
9.000000000000000000e+00,3.509849032282003918e+03,3.510853431324248049e+03
1.000000000000000000e+01,3.603868551636045140e+03,3.605419507377035188e+03
1.100000000000000000e+01,3.735193287373820567e+03,3.737262301905378081e+03
1.200000000000000000e+01,3.801007180928868365e+03,3.804500038545305870e+03
1.300000000000000000e+01,3.934986121311711941e+03,3.937721825965239987e+03
1.400000000000000000e+01,4.052021282866089223e+03,4.055852203152502170e+03
1.500000000000000000e+01,4.203528082202177757e+03,4.209094730715567493e+03
1.600000000000000000e+01,4.330215258420788814e+03,4.336797198391506754e+03
1.700000000000000000e+01,4.432042195446291771e+03,4.439244058292085356e+03
1.800000000000000000e+01,4.603807640970499051e+03,4.610479722096411933e+03
1.900000000000000000e+01,4.740084469071807689e+03,4.749924922506779694e+03
2.000000000000000000e+01,4.874249181428478551e+03,4.889478842542590428e+03
2.100000000000000000e+01,5.020378981820123045e+03,5.029714169232321183e+03
2.200000000000000000e+01,5.180333805415866664e+03,5.188812162756114049e+03
2.300000000000000000e+01,5.347992556457921637e+03,5.357203967137030304e+03
2.400000000000000000e+01,5.475672015487833960e+03,5.488180930822599294e+03
2.500000000000000000e+01,5.575495461886976955e+03,5.585682187717539819e+03
2.600000000000000000e+01,5.778606234439791479e+03,5.792827220861990099e+03
2.700000000000000000e+01,5.795624647002025085e+03,5.806741622720327541e+03
2.800000000000000000e+01,5.902948601315890301e+03,5.911116168893025133e+03
2.900000000000000000e+01,5.992166382278139281e+03,6.004934186087112721e+03
3.000000000000000000e+01,6.251910082276503999e+03,6.270189650724157218e+03
3.100000000000000000e+01,6.174796261782551483e+03,6.186531754212386659e+03
3.200000000000000000e+01,6.312156093373449949e+03,6.323606861848384142e+03
3.300000000000000000e+01,6.338869523083058084e+03,6.352498091772245971e+03
3.400000000000000000e+01,6.467266388301698498e+03,6.480618747810493005e+03
3.500000000000000000e+01,6.544013996619557474e+03,6.558200934608402349e+03
3.600000000000000000e+01,6.596966118385997106e+03,6.609821150509990730e+03
3.700000000000000000e+01,6.644777973216929240e+03,6.658487379903875080e+03
3.800000000000000000e+01,6.811289757480386470e+03,6.830079516718847117e+03
3.900000000000000000e+01,6.856013817758178448e+03,6.877692476956529390e+03
4.000000000000000000e+01,6.866631277168371525e+03,6.883834086740072962e+03
4.100000000000000000e+01,6.856661098873987612e+03,6.875824266554200221e+03
4.200000000000000000e+01,7.046739351993428500e+03,7.070524988212155222e+03
4.300000000000000000e+01,7.065107306844089180e+03,7.090365039041024829e+03
4.400000000000000000e+01,7.068708416940572533e+03,7.088938522531049784e+03
4.500000000000000000e+01,7.025589784109327411e+03,7.043347652366578586e+03
4.600000000000000000e+01,7.071835500703335128e+03,7.091966817656638341e+03
4.700000000000000000e+01,7.080466424828931849e+03,7.100170692871634856e+03
4.800000000000000000e+01,7.238628976740896178e+03,7.268635888122416873e+03
5.000000000000000000e+01,7.260838372224208797e+03,7.303435371277621016e+03
