# Length,R_Method1,R_Method2
# Params: T=300.0, E=0.5
5.000000000000000000e+00,1.306420583911738322e+04,1.306672724002260475e+04
6.000000000000000000e+00,1.363471663850167351e+04,1.367372112840549016e+04
7.000000000000000000e+00,1.431559239834377513e+04,1.438206389965293056e+04
8.000000000000000000e+00,1.530024970490207488e+04,1.541309577880186589e+04
9.000000000000000000e+00,1.601694328531166320e+04,1.627300725616521049e+04
1.000000000000000000e+01,1.660785884578912010e+04,1.680903058616307680e+04
1.100000000000000000e+01,1.672902195256411505e+04,1.681562867291911971e+04
1.200000000000000000e+01,1.646696950738638043e+04,1.654868351383214031e+04
1.300000000000000000e+01,1.581677326338090097e+04,1.588933845719615238e+04
1.400000000000000000e+01,1.498399440553558452e+04,1.505715551399374635e+04
1.500000000000000000e+01,1.455256223458041859e+04,1.465482086869590057e+04
1.600000000000000000e+01,1.386483181949162099e+04,1.392037413254985950e+04
1.700000000000000000e+01,1.369257350222825335e+04,1.373610389516954820e+04
1.800000000000000000e+01,1.395579434436229894e+04,1.404483426707182480e+04
1.900000000000000000e+01,1.456640885901546426e+04,1.473591595222092110e+04
2.000000000000000000e+01,1.527847423643524235e+04,1.556397498892075419e+04
2.100000000000000000e+01,1.619160532495063853e+04,1.653594270640034301e+04
2.200000000000000000e+01,1.673077643203165280e+04,1.728018610620871186e+04
2.300000000000000000e+01,1.733170687824635388e+04,1.766157592674435728e+04
2.400000000000000000e+01,1.745091846862170860e+04,1.818266796400602470e+04
2.500000000000000000e+01,1.639378652769138353e+04,1.675205677721790926e+04
2.600000000000000000e+01,1.585083380444981231e+04,1.619857474224830003e+04
2.700000000000000000e+01,1.495945589205090437e+04,1.514162473238534949e+04
2.800000000000000000e+01,1.503593974639530279e+04,1.544577217029612984e+04
2.900000000000000000e+01,1.448327131951715819e+04,1.468610912641460345e+04
3.000000000000000000e+01,1.461216230272204484e+04,1.480821099592388236e+04
3.100000000000000000e+01,1.495564031375674494e+04,1.522817908127924420e+04
3.200000000000000000e+01,1.499700717866640298e+04,1.523186543037484262e+04
3.300000000000000000e+01,1.591691665729237320e+04,1.639453366838298462e+04
3.400000000000000000e+01,1.663767168609458531e+04,1.741819559470928652e+04
3.500000000000000000e+01,1.793170040977645476e+04,1.868459887958250692e+04
3.600000000000000000e+01,1.863798308231337796e+04,1.972745540614369747e+04
3.700000000000000000e+01,1.794456085661223915e+04,1.884987015194015476e+04
3.800000000000000000e+01,1.666982351427807589e+04,1.717313911426747291e+04
3.900000000000000000e+01,1.639899985251817270e+04,1.707887676937746801e+04
4.000000000000000000e+01,1.521625900132942297e+04,1.550552574596246995e+04
4.100000000000000000e+01,1.483662669828485559e+04,1.505928232160352491e+04
4.200000000000000000e+01,1.478676957993056385e+04,1.500678694272014582e+04
4.300000000000000000e+01,1.550138202441721114e+04,1.597136251439857551e+04
4.400000000000000000e+01,1.598816556812564522e+04,1.668714894390364498e+04
4.500000000000000000e+01,1.643636494988327104e+04,1.705459306936911889e+04
4.600000000000000000e+01,1.650585521979301484e+04,1.742708630084353717e+04
4.700000000000000000e+01,1.746009287208110618e+04,1.872054696316907211e+04
4.800000000000000000e+01,1.785798165619786232e+04,1.880115048749500784e+04
5.000000000000000000e+01,1.818619533178430720e+04,1.985033106091438094e+04
