Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1532.659    -1533.783        1.124    90.6
0.0010        -1532.686    -1533.884        1.198    96.5
0.0020        -1532.693    -1534.157        1.465   118.0
0.0030        -1532.677    -1534.553        1.876   151.2
0.0040        -1532.692    -1534.988        2.296   185.0
0.0050        -1532.716    -1535.392        2.676   215.6
0.0060        -1532.719    -1535.721        3.002   241.9
0.0070        -1532.723    -1535.960        3.237   260.8
0.0080        -1532.751    -1536.124        3.373   271.8
0.0090        -1532.856    -1536.248        3.392   273.3
0.0100        -1532.941    -1536.359        3.418   275.4
0.0110        -1533.036    -1536.464        3.428   276.2
0.0120        -1533.091    -1536.533        3.442   277.4
0.0130        -1533.177    -1536.519        3.341   269.3
0.0140        -1533.180    -1536.398        3.218   259.3
0.0150        -1533.307    -1536.206        2.900   233.7
0.0160        -1533.311    -1536.006        2.695   217.2
0.0170        -1533.349    -1535.866        2.517   202.8
0.0180        -1533.397    -1535.825        2.429   195.7
0.0190        -1533.408    -1535.896        2.488   200.5
0.0200        -1533.439    -1536.040        2.601   209.6
0.0210        -1533.409    -1536.176        2.767   223.0
0.0220        -1533.438    -1536.228        2.790   224.9
0.0230        -1533.498    -1536.167        2.668   215.0
0.0240        -1533.509    -1535.999        2.490   200.7
0.0250        -1533.516    -1535.783        2.267   182.7
0.0260        -1533.565    -1535.596        2.031   163.6
0.0270        -1533.585    -1535.481        1.896   152.8
0.0280        -1533.533    -1535.451        1.918   154.6
0.0290        -1533.489    -1535.470        1.981   159.7
0.0300        -1533.538    -1535.488        1.949   157.1
0.0310        -1533.569    -1535.452        1.883   151.7
0.0320        -1533.576    -1535.357        1.782   143.6
0.0330        -1533.563    -1535.234        1.671   134.7
0.0340        -1533.522    -1535.129        1.606   129.4
0.0350        -1533.503    -1535.105        1.602   129.1
0.0360        -1533.495    -1535.217        1.722   138.8
0.0370        -1533.484    -1535.480        1.996   160.8
0.0380        -1533.550    -1535.860        2.310   186.2
0.0390        -1533.520    -1536.298        2.778   223.9
0.0400        -1533.608    -1536.699        3.092   249.2
0.0410        -1533.637    -1536.984        3.347   269.7
0.0420        -1533.681    -1537.104        3.423   275.8
0.0430        -1533.745    -1537.055        3.310   266.8
0.0440        -1533.811    -1536.884        3.074   247.7
0.0450        -1533.795    -1536.657        2.862   230.6
0.0460        -1533.887    -1536.448        2.561   206.4
0.0470        -1533.886    -1536.300        2.414   194.6
0.0480        -1533.902    -1536.213        2.311   186.3
0.0490        -1533.901    -1536.157        2.257   181.8
0.0500        -1533.932    -1536.093        2.161   174.2
0.0510        -1533.954    -1535.997        2.043   164.6
0.0520        -1533.950    -1535.876        1.925   155.2
0.0530        -1533.926    -1535.752        1.826   147.2
0.0540        -1533.973    -1535.661        1.688   136.0
0.0550        -1533.985    -1535.637        1.652   133.1
0.0560        -1533.982    -1535.686        1.704   137.3
0.0570        -1534.004    -1535.781        1.777   143.2
0.0580        -1534.016    -1535.904        1.888   152.1
0.0590        -1534.001    -1536.029        2.027   163.4
0.0600        -1534.023    -1536.127        2.104   169.6
0.0610        -1534.012    -1536.177        2.166   174.5
0.0620        -1534.010    -1536.186        2.176   175.3
0.0630        -1533.992    -1536.158        2.166   174.5
0.0640        -1534.023    -1536.119        2.096   168.9
0.0650        -1534.066    -1536.094        2.028   163.4
0.0660        -1534.058    -1536.093        2.035   164.0
0.0670        -1534.082    -1536.106        2.023   163.0
0.0680        -1534.103    -1536.120        2.017   162.5
0.0690        -1534.096    -1536.132        2.036   164.1
0.0700        -1534.112    -1536.148        2.036   164.1
0.0710        -1534.148    -1536.183        2.035   164.0
0.0720        -1534.138    -1536.261        2.124   171.1
0.0730        -1534.159    -1536.396        2.237   180.3
0.0740        -1534.198    -1536.581        2.382   192.0
0.0750        -1534.210    -1536.782        2.572   207.3
0.0760        -1534.290    -1536.951        2.661   214.4
0.0770        -1534.306    -1537.035        2.729   219.9
0.0780        -1534.346    -1537.003        2.657   214.1
0.0790        -1534.383    -1536.841        2.458   198.1
0.0800        -1534.396    -1536.577        2.182   175.8
0.0810        -1534.420    -1536.264        1.844   148.6
0.0820        -1534.442    -1535.966        1.523   122.8
0.0830        -1534.435    -1535.757        1.323   106.6
0.0840        -1534.440    -1535.667        1.227    98.9
0.0850        -1534.474    -1535.697        1.223    98.5
0.0860        -1534.492    -1535.815        1.323   106.6
0.0870        -1534.512    -1535.968        1.456   117.3
0.0880        -1534.525    -1536.122        1.597   128.7
0.0890        -1534.553    -1536.248        1.696   136.6
0.0900        -1534.581    -1536.345        1.764   142.1
0.0910        -1534.538    -1536.423        1.885   151.9
0.0920        -1534.556    -1536.492        1.936   156.0
0.0930        -1534.593    -1536.569        1.976   159.2
0.0940        -1534.589    -1536.661        2.072   167.0
0.0950        -1534.595    -1536.739        2.144   172.7
0.0960        -1534.554    -1536.785        2.231   179.8
0.0970        -1534.528    -1536.777        2.249   181.3
0.0980        -1534.569    -1536.704        2.136   172.1
0.0990        -1534.573    -1536.589        2.016   162.5
0.1000        -1534.593    -1536.466        1.872   150.9
0.1010        -1534.630    -1536.372        1.742   140.4
0.1020        -1534.659    -1536.332        1.673   134.9
0.1030        -1534.672    -1536.353        1.682   135.5
0.1040        -1534.685    -1536.422        1.737   140.0
0.1050        -1534.749    -1536.502        1.753   141.3
0.1060        -1534.751    -1536.574        1.822   146.8
0.1070        -1534.766    -1536.614        1.848   148.9
0.1080        -1534.805    -1536.622        1.817   146.4
0.1090        -1534.810    -1536.605        1.795   144.6
0.1100        -1534.816    -1536.574        1.758   141.7
0.1110        -1534.845    -1536.540        1.695   136.6
0.1120        -1534.858    -1536.507        1.649   132.9
0.1130        -1534.877    -1536.477        1.599   128.9
0.1140        -1534.884    -1536.448        1.564   126.0
0.1150        -1534.895    -1536.420        1.524   122.8
0.1160        -1534.889    -1536.395        1.507   121.4
0.1170        -1534.857    -1536.371        1.515   122.1
0.1180        -1534.847    -1536.361        1.513   121.9
0.1190        -1534.866    -1536.382        1.516   122.2
0.1200        -1534.896    -1536.448        1.552   125.1
0.1210        -1534.930    -1536.561        1.631   131.5
0.1220        -1534.956    -1536.699        1.743   140.4
0.1230        -1534.984    -1536.839        1.855   149.5
0.1240        -1535.043    -1536.950        1.907   153.6
0.1250        -1535.048    -1537.021        1.972   158.9
0.1260        -1535.105    -1537.048        1.943   156.6
0.1270        -1535.155    -1537.034        1.878   151.4
0.1280        -1535.197    -1536.997        1.800   145.1
0.1290        -1535.220    -1536.954        1.734   139.7
0.1300        -1535.233    -1536.922        1.689   136.1
0.1310        -1535.252    -1536.901        1.649   132.9
0.1320        -1535.257    -1536.899        1.642   132.3
0.1330        -1535.253    -1536.897        1.644   132.5
0.1340        -1535.225    -1536.877        1.651   133.1
0.1350        -1535.269    -1536.835        1.566   126.2
0.1360        -1535.268    -1536.773        1.504   121.2
0.1370        -1535.308    -1536.709        1.400   112.8
0.1380        -1535.310    -1536.673        1.363   109.8
0.1390        -1535.348    -1536.673        1.324   106.7
0.1400        -1535.346    -1536.705        1.359   109.5
0.1410        -1535.324    -1536.760        1.436   115.7
0.1420        -1535.356    -1536.819        1.463   117.9
0.1430        -1535.363    -1536.870        1.506   121.4
0.1440        -1535.377    -1536.910        1.532   123.5
0.1450        -1535.417    -1536.929        1.512   121.8
0.1460        -1535.411    -1536.928        1.517   122.2
0.1470        -1535.401    -1536.906        1.505   121.3
0.1480        -1535.381    -1536.874        1.493   120.3
0.1490        -1535.346    -1536.837        1.491   120.1
0.1500        -1535.316    -1536.791        1.476   118.9
0.1510        -1535.291    -1536.737        1.446   116.6
0.1520        -1535.279    -1536.675        1.396   112.5
0.1530        -1535.291    -1536.621        1.331   107.2
0.1540        -1535.250    -1536.600        1.351   108.8
0.1550        -1535.250    -1536.632        1.382   111.4
0.1560        -1535.202    -1536.717        1.515   122.1
0.1570        -1535.192    -1536.826        1.634   131.7
0.1580        -1535.170    -1536.930        1.760   141.8
0.1590        -1535.207    -1536.997        1.790   144.2
0.1600        -1535.173    -1537.012        1.840   148.2
0.1610        -1535.190    -1536.967        1.777   143.2
0.1620        -1535.191    -1536.880        1.689   136.1
0.1630        -1535.201    -1536.777        1.577   127.0
0.1640        -1535.258    -1536.685        1.427   115.0
0.1650        -1535.268    -1536.627        1.360   109.6
0.1660        -1535.257    -1536.617        1.360   109.6
0.1670        -1535.273    -1536.645        1.372   110.6
0.1680        -1535.272    -1536.693        1.420   114.5
0.1690        -1535.276    -1536.724        1.447   116.6
0.1700        -1535.282    -1536.727        1.445   116.4
0.1710        -1535.310    -1536.707        1.398   112.6
0.1720        -1535.317    -1536.673        1.356   109.3
0.1730        -1535.305    -1536.646        1.341   108.1
0.1740        -1535.302    -1536.652        1.350   108.8
0.1750        -1535.319    -1536.694        1.375   110.8
0.1760        -1535.293    -1536.767        1.474   118.8
0.1770        -1535.296    -1536.860        1.564   126.0
0.1780        -1535.362    -1536.950        1.588   127.9
0.1790        -1535.335    -1537.006        1.671   134.7
0.1800        -1535.323    -1537.015        1.691   136.3
0.1810        -1535.368    -1536.973        1.605   129.3
0.1820        -1535.356    -1536.890        1.534   123.6
