Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1533.783    -1533.783        0.000     0.0
0.0010        -1533.786    -1533.931        0.145    11.7
0.0020        -1533.798    -1534.341        0.542    43.7
0.0030        -1533.822    -1534.921        1.099    88.5
0.0040        -1533.858    -1535.554        1.696   136.7
0.0050        -1533.903    -1536.126        2.224   179.2
0.0060        -1533.953    -1536.561        2.608   210.2
0.0070        -1534.006    -1536.834        2.828   227.9
0.0080        -1534.061    -1536.972        2.911   234.6
0.0090        -1534.116    -1537.033        2.917   235.1
0.0100        -1534.172    -1537.072        2.900   233.7
0.0110        -1534.231    -1537.116        2.885   232.5
0.0120        -1534.291    -1537.150        2.858   230.4
0.0130        -1534.351    -1537.135        2.784   224.4
0.0140        -1534.405    -1537.041        2.636   212.4
0.0150        -1534.453    -1536.871        2.418   194.8
0.0160        -1534.495    -1536.668        2.173   175.1
0.0170        -1534.533    -1536.497        1.964   158.3
0.0180        -1534.569    -1536.415        1.845   148.7
0.0190        -1534.608    -1536.442        1.834   147.8
0.0200        -1534.649    -1536.554        1.905   153.5
0.0210        -1534.693    -1536.690        1.997   160.9
0.0220        -1534.737    -1536.778        2.041   164.4
0.0230        -1534.779    -1536.768        1.990   160.4
0.0240        -1534.815    -1536.654        1.839   148.2
0.0250        -1534.846    -1536.472        1.626   131.0
0.0260        -1534.873    -1536.287        1.414   114.0
0.0270        -1534.898    -1536.158        1.260   101.5
0.0280        -1534.924    -1536.109        1.185    95.5
0.0290        -1534.951    -1536.120        1.169    94.2
0.0300        -1534.976    -1536.146        1.169    94.2
0.0310        -1535.001    -1536.144        1.143    92.1
0.0320        -1535.022    -1536.101        1.079    87.0
0.0330        -1535.040    -1536.037        0.997    80.4
0.0340        -1535.056    -1535.999        0.943    76.0
0.0350        -1535.073    -1536.039        0.966    77.9
0.0360        -1535.093    -1536.194        1.101    88.7
0.0370        -1535.119    -1536.467        1.348   108.7
0.0380        -1535.154    -1536.828        1.675   135.0
0.0390        -1535.195    -1537.215        2.020   162.8
0.0400        -1535.243    -1537.552        2.309   186.1
0.0410        -1535.294    -1537.775        2.481   199.9
0.0420        -1535.344    -1537.847        2.503   201.7
