Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1533.067    -1533.783        0.716    57.7
0.0010        -1533.101    -1533.910        0.809    65.2
0.0020        -1533.123    -1534.230        1.107    89.2
0.0030        -1533.142    -1534.678        1.536   123.8
0.0040        -1533.163    -1535.175        2.012   162.1
0.0050        -1533.209    -1535.645        2.436   196.3
0.0060        -1533.247    -1536.031        2.784   224.3
0.0070        -1533.294    -1536.317        3.023   243.6
0.0080        -1533.352    -1536.515        3.163   254.9
0.0090        -1533.402    -1536.652        3.249   261.9
0.0100        -1533.461    -1536.757        3.296   265.6
0.0110        -1533.537    -1536.837        3.300   265.9
0.0120        -1533.574    -1536.877        3.303   266.2
0.0130        -1533.610    -1536.839        3.229   260.2
0.0140        -1533.657    -1536.707        3.050   245.8
0.0150        -1533.684    -1536.499        2.816   226.9
0.0160        -1533.712    -1536.263        2.551   205.6
0.0170        -1533.730    -1536.077        2.346   189.1
0.0180        -1533.751    -1535.995        2.244   180.8
0.0190        -1533.810    -1536.023        2.213   178.3
0.0200        -1533.854    -1536.126        2.272   183.1
0.0210        -1533.908    -1536.242        2.334   188.1
0.0220        -1533.926    -1536.300        2.374   191.3
0.0230        -1533.940    -1536.259        2.318   186.8
0.0240        -1533.996    -1536.117        2.121   171.0
0.0250        -1534.066    -1535.930        1.864   150.2
0.0260        -1534.105    -1535.769        1.664   134.1
0.0270        -1534.110    -1535.695        1.584   127.7
0.0280        -1534.131    -1535.717        1.586   127.8
0.0290        -1534.169    -1535.798        1.630   131.3
0.0300        -1534.191    -1535.880        1.688   136.1
0.0310        -1534.207    -1535.915        1.708   137.6
0.0320        -1534.216    -1535.882        1.666   134.3
0.0330        -1534.230    -1535.795        1.565   126.1
0.0340        -1534.244    -1535.701        1.457   117.4
0.0350        -1534.228    -1535.663        1.435   115.7
0.0360        -1534.207    -1535.736        1.529   123.2
0.0370        -1534.248    -1535.950        1.702   137.2
0.0380        -1534.284    -1536.287        2.003   161.4
0.0390        -1534.329    -1536.683        2.354   189.7
0.0400        -1534.421    -1537.058        2.638   212.6
0.0410        -1534.463    -1537.335        2.872   231.4
0.0420        -1534.493    -1537.458        2.964   238.9
0.0430        -1534.538    -1537.419        2.881   232.2
0.0440        -1534.583    -1537.260        2.677   215.7
0.0450        -1534.632    -1537.049        2.417   194.7
0.0460        -1534.658    -1536.851        2.193   176.7
0.0470        -1534.654    -1536.696        2.042   164.5
0.0480        -1534.699    -1536.582        1.883   151.7
0.0490        -1534.740    -1536.486        1.746   140.7
0.0500        -1534.780    -1536.385        1.605   129.4
0.0510        -1534.784    -1536.271        1.487   119.9
0.0520        -1534.790    -1536.144        1.354   109.1
0.0530        -1534.790    -1536.033        1.242   100.1
0.0540        -1534.827    -1535.971        1.144    92.2
0.0550        -1534.847    -1535.988        1.141    91.9
0.0560        -1534.856    -1536.087        1.231    99.2
0.0570        -1534.874    -1536.245        1.372   110.5
0.0580        -1534.876    -1536.428        1.552   125.0
0.0590        -1534.901    -1536.596        1.695   136.6
0.0600        -1534.935    -1536.713        1.778   143.3
0.0610        -1534.934    -1536.766        1.833   147.7
0.0620        -1534.980    -1536.768        1.789   144.1
0.0630        -1535.020    -1536.742        1.722   138.8
0.0640        -1535.056    -1536.710        1.654   133.3
0.0650        -1535.086    -1536.691        1.606   129.4
0.0660        -1535.088    -1536.688        1.600   129.0
0.0670        -1535.113    -1536.698        1.585   127.8
0.0680        -1535.142    -1536.712        1.569   126.5
0.0690        -1535.159    -1536.730        1.571   126.6
0.0700        -1535.211    -1536.755        1.543   124.4
0.0710        -1535.247    -1536.803        1.556   125.4
0.0720        -1535.254    -1536.886        1.632   131.5
