Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1530.210    -1533.783        3.573   287.9
0.0010        -1530.145    -1533.853        3.708   298.8
0.0020        -1530.101    -1533.894        3.793   305.6
0.0030        -1530.094    -1533.893        3.799   306.2
0.0040        -1529.992    -1533.856        3.864   311.4
0.0050        -1530.009    -1533.828        3.819   307.8
0.0060        -1530.017    -1533.868        3.851   310.3
0.0070        -1530.028    -1533.996        3.968   319.8
0.0080        -1530.073    -1534.234        4.160   335.3
0.0090        -1530.145    -1534.535        4.390   353.8
0.0100        -1530.064    -1534.844        4.779   385.1
0.0110        -1530.054    -1535.069        5.015   404.2
0.0120        -1530.037    -1535.142        5.106   411.4
0.0130        -1530.161    -1535.037        4.876   393.0
0.0140        -1530.196    -1534.799        4.604   371.0
0.0150        -1530.106    -1534.510        4.404   354.9
0.0160        -1530.078    -1534.268        4.190   337.7
0.0170        -1530.023    -1534.135        4.112   331.4
0.0180        -1529.987    -1534.157        4.170   336.0
0.0190        -1530.037    -1534.285        4.248   342.3
0.0200        -1530.010    -1534.430        4.421   356.2
0.0210        -1530.061    -1534.530        4.469   360.1
0.0220        -1529.989    -1534.508        4.518   364.1
0.0230        -1530.041    -1534.336        4.295   346.1
0.0240        -1530.009    -1534.054        4.045   326.0
0.0250        -1530.072    -1533.771        3.699   298.1
0.0260        -1530.099    -1533.596        3.498   281.9
0.0270        -1530.127    -1533.573        3.445   277.6
0.0280        -1530.085    -1533.630        3.545   285.7
0.0290        -1530.029    -1533.695        3.666   295.5
0.0300        -1529.985    -1533.691        3.706   298.7
0.0310        -1530.022    -1533.593        3.572   287.8
0.0320        -1529.994    -1533.437        3.444   277.5
0.0330        -1529.989    -1533.289        3.299   265.9
0.0340        -1529.813    -1533.238        3.425   276.0
0.0350        -1529.940    -1533.323        3.383   272.6
0.0360        -1529.851    -1533.553        3.702   298.3
0.0370        -1529.822    -1533.903        4.081   328.9
0.0380        -1529.785    -1534.324        4.539   365.8
0.0390        -1529.834    -1534.717        4.883   393.5
0.0400        -1529.641    -1535.018        5.377   433.3
0.0410        -1529.576    -1535.166        5.590   450.5
0.0420        -1529.684    -1535.154        5.470   440.8
0.0430        -1529.747    -1535.025        5.278   425.3
0.0440        -1529.881    -1534.857        4.977   401.0
0.0450        -1529.872    -1534.721        4.849   390.7
0.0460        -1529.979    -1534.635        4.657   375.3
0.0470        -1530.027    -1534.579        4.552   366.9
0.0480        -1530.003    -1534.488        4.485   361.4
0.0490        -1530.118    -1534.333        4.215   339.7
0.0500        -1530.211    -1534.116        3.906   314.8
0.0510        -1530.187    -1533.877        3.690   297.3
0.0520        -1530.175    -1533.685        3.510   282.8
0.0530        -1530.131    -1533.573        3.442   277.4
0.0540        -1530.096    -1533.558        3.462   279.0
0.0550        -1530.098    -1533.627        3.529   284.4
0.0560        -1530.153    -1533.733        3.579   288.4
0.0570        -1530.082    -1533.827        3.745   301.8
0.0580        -1530.191    -1533.879        3.688   297.2
0.0590        -1530.123    -1533.886        3.763   303.2
0.0600        -1530.058    -1533.870        3.812   307.2
0.0610        -1530.101    -1533.881        3.780   304.6
0.0620        -1530.013    -1533.959        3.946   318.0
0.0630        -1530.062    -1534.087        4.025   324.4
0.0640        -1530.045    -1534.276        4.231   341.0
0.0650        -1530.061    -1534.449        4.388   353.6
0.0660        -1530.072    -1534.554        4.482   361.2
0.0670        -1530.173    -1534.573        4.400   354.6
0.0680        -1530.128    -1534.511        4.383   353.2
0.0690        -1530.243    -1534.392        4.149   334.4
0.0700        -1530.214    -1534.289        4.074   328.3
0.0710        -1530.268    -1534.259        3.992   321.7
0.0720        -1530.269    -1534.335        4.066   327.6
0.0730        -1530.171    -1534.487        4.316   347.8
0.0740        -1529.936    -1534.671        4.735   381.6
0.0750        -1529.995    -1534.812        4.817   388.2
0.0760        -1529.953    -1534.862        4.910   395.7
0.0770        -1530.017    -1534.762        4.745   382.4
0.0780        -1530.048    -1534.514        4.466   359.9
0.0790        -1530.036    -1534.173        4.137   333.4
0.0800        -1530.089    -1533.836        3.748   302.0
0.0810        -1530.065    -1533.592        3.527   284.2
0.0820        -1530.168    -1533.500        3.332   268.5
0.0830        -1530.119    -1533.578        3.459   278.7
0.0840        -1530.093    -1533.752        3.659   294.9
0.0850        -1530.027    -1533.921        3.894   313.8
0.0860        -1530.157    -1534.024        3.867   311.6
0.0870        -1530.233    -1534.033        3.800   306.2
0.0880        -1530.256    -1533.997        3.741   301.5
0.0890        -1530.321    -1533.960        3.639   293.2
0.0900        -1530.304    -1533.990        3.686   297.1
0.0910        -1530.251    -1534.089        3.838   309.3
0.0920        -1530.198    -1534.281        4.083   329.0
0.0930        -1530.118    -1534.529        4.411   355.5
0.0940        -1530.103    -1534.750        4.647   374.5
0.0950        -1530.207    -1534.883        4.676   376.8
0.0960        -1530.180    -1534.924        4.745   382.4
0.0970        -1530.297    -1534.879        4.582   369.2
0.0980        -1530.305    -1534.809        4.503   362.9
0.0990        -1530.284    -1534.723        4.438   357.7
0.1000        -1530.143    -1534.620        4.476   360.7
0.1010        -1530.104    -1534.511        4.406   355.1
0.1020        -1530.179    -1534.382        4.202   338.7
0.1030        -1530.157    -1534.236        4.079   328.7
0.1040        -1530.121    -1534.072        3.951   318.4
0.1050        -1530.168    -1533.913        3.745   301.8
0.1060        -1530.218    -1533.802        3.584   288.9
0.1070        -1530.213    -1533.767        3.554   286.4
0.1080        -1530.139    -1533.809        3.671   295.8
0.1090        -1530.149    -1533.914        3.765   303.4
0.1100        -1530.207    -1534.057        3.850   310.2
0.1110        -1530.226    -1534.208        3.982   320.9
0.1120        -1530.116    -1534.288        4.172   336.2
0.1130        -1530.118    -1534.282        4.164   335.6
0.1140        -1530.152    -1534.187        4.035   325.2
0.1150        -1530.149    -1534.037        3.888   313.3
0.1160        -1530.248    -1533.875        3.627   292.3
0.1170        -1530.250    -1533.778        3.528   284.3
0.1180        -1530.301    -1533.783        3.481   280.5
0.1190        -1530.295    -1533.912        3.617   291.5
0.1200        -1530.336    -1534.104        3.768   303.6
0.1210        -1530.227    -1534.295        4.067   327.8
0.1220        -1530.115    -1534.420        4.305   346.9
0.1230        -1530.001    -1534.456        4.455   359.0
0.1240        -1529.936    -1534.419        4.483   361.3
0.1250        -1529.803    -1534.365        4.562   367.6
0.1260        -1529.834    -1534.323        4.489   361.8
0.1270        -1529.909    -1534.311        4.402   354.8
0.1280        -1529.969    -1534.339        4.370   352.2
0.1290        -1529.955    -1534.372        4.417   356.0
0.1300        -1529.857    -1534.390        4.532   365.3
0.1310        -1529.888    -1534.370        4.482   361.2
0.1320        -1529.895    -1534.293        4.397   354.4
0.1330        -1529.979    -1534.167        4.188   337.5
0.1340        -1529.958    -1534.009        4.050   326.4
0.1350        -1529.904    -1533.826        3.922   316.1
0.1360        -1529.844    -1533.677        3.833   308.9
0.1370        -1529.908    -1533.563        3.654   294.5
0.1380        -1529.897    -1533.524        3.626   292.2
0.1390        -1529.874    -1533.576        3.701   298.3
0.1400        -1529.769    -1533.693        3.924   316.2
0.1410        -1529.751    -1533.820        4.069   327.9
0.1420        -1529.697    -1533.931        4.234   341.2
0.1430        -1529.664    -1534.004        4.340   349.8
0.1440        -1529.716    -1534.065        4.349   350.5
0.1450        -1529.660    -1534.115        4.455   359.0
0.1460        -1529.656    -1534.166        4.510   363.4
0.1470        -1529.742    -1534.218        4.476   360.7
0.1480        -1529.686    -1534.281        4.595   370.3
0.1490        -1529.730    -1534.319        4.589   369.8
0.1500        -1529.885    -1534.317        4.432   357.2
0.1510        -1530.019    -1534.270        4.251   342.6
0.1520        -1530.039    -1534.193        4.155   334.8
0.1530        -1530.066    -1534.109        4.043   325.8
0.1540        -1530.085    -1534.060        3.976   320.4
0.1550        -1530.102    -1534.075        3.974   320.2
0.1560        -1530.003    -1534.155        4.152   334.6
0.1570        -1530.104    -1534.246        4.142   333.8
0.1580        -1530.085    -1534.310        4.225   340.5
0.1590        -1530.117    -1534.317        4.200   338.5
0.1600        -1530.171    -1534.286        4.115   331.6
0.1610        -1530.092    -1534.245        4.153   334.6
0.1620        -1529.998    -1534.223        4.226   340.5
0.1630        -1529.912    -1534.234        4.322   348.3
0.1640        -1529.866    -1534.278        4.412   355.5
0.1650        -1529.792    -1534.338        4.546   366.4
0.1660        -1529.955    -1534.387        4.432   357.2
0.1670        -1529.910    -1534.392        4.482   361.2
0.1680        -1529.938    -1534.316        4.378   352.8
0.1690        -1529.924    -1534.153        4.229   340.8
0.1700        -1529.917    -1533.939        4.022   324.1
0.1710        -1529.919    -1533.716        3.797   306.0
0.1720        -1529.912    -1533.551        3.639   293.2
0.1730        -1529.907    -1533.491        3.584   288.8
0.1740        -1529.942    -1533.555        3.612   291.1
0.1750        -1529.913    -1533.730        3.817   307.6
0.1760        -1529.820    -1533.943        4.123   332.3
0.1770        -1529.967    -1534.140        4.173   336.3
0.1780        -1529.966    -1534.274        4.307   347.1
0.1790        -1529.942    -1534.309        4.367   352.0
0.1800        -1529.882    -1534.254        4.372   352.3
0.1810        -1529.729    -1534.140        4.411   355.5
0.1820        -1529.685    -1534.037        4.351   350.7
0.1830        -1529.728    -1533.998        4.270   344.1
0.1840        -1529.838    -1534.014        4.176   336.6
0.1850        -1529.772    -1534.104        4.332   349.1
0.1860        -1529.759    -1534.218        4.459   359.4
0.1870        -1529.772    -1534.332        4.559   367.4
0.1880        -1529.877    -1534.377        4.500   362.6
0.1890        -1529.939    -1534.326        4.386   353.5
0.1900        -1529.966    -1534.176        4.210   339.3
0.1910        -1529.936    -1533.974        4.038   325.4
0.1920        -1529.899    -1533.751        3.852   310.5
0.1930        -1529.814    -1533.586        3.772   304.0
0.1940        -1529.826    -1533.501        3.675   296.1
0.1950        -1529.914    -1533.503        3.589   289.2
0.1960        -1529.951    -1533.574        3.624   292.0
0.1970        -1529.923    -1533.688        3.765   303.4
0.1980        -1529.961    -1533.839        3.878   312.5
0.1990        -1530.148    -1534.015        3.868   311.7
0.2000        -1530.264    -1534.189        3.924   316.3
0.2010        -1530.267    -1534.324        4.058   327.0
0.2020        -1530.202    -1534.423        4.221   340.2
0.2030        -1530.288    -1534.476        4.188   337.5
0.2040        -1530.366    -1534.502        4.136   333.3
0.2050        -1530.437    -1534.487        4.050   326.3
0.2060        -1530.510    -1534.457        3.948   318.1
0.2070        -1530.557    -1534.433        3.876   312.4
0.2080        -1530.490    -1534.411        3.921   316.0
0.2090        -1530.472    -1534.403        3.931   316.8
0.2100        -1530.490    -1534.424        3.933   317.0
0.2110        -1530.502    -1534.466        3.964   319.4
0.2120        -1530.547    -1534.527        3.981   320.8
0.2130        -1530.507    -1534.590        4.083   329.1
0.2140        -1530.568    -1534.643        4.075   328.4
0.2150        -1530.625    -1534.665        4.039   325.5
0.2160        -1530.631    -1534.658        4.027   324.5
0.2170        -1530.600    -1534.616        4.016   323.7
0.2180        -1530.614    -1534.570        3.956   318.8
0.2190        -1530.631    -1534.535        3.904   314.6
0.2200        -1530.586    -1534.514        3.928   316.5
0.2210        -1530.598    -1534.508        3.910   315.1
0.2220        -1530.573    -1534.472        3.898   314.2
0.2230        -1530.594    -1534.431        3.837   309.2
0.2240        -1530.606    -1534.375        3.770   303.8
0.2250        -1530.640    -1534.305        3.665   295.4
0.2260        -1530.647    -1534.223        3.576   288.2
0.2270        -1530.732    -1534.167        3.435   276.8
0.2280        -1530.784    -1534.160        3.376   272.1
0.2290        -1530.835    -1534.191        3.356   270.4
0.2300        -1530.719    -1534.253        3.534   284.8
0.2310        -1530.751    -1534.344        3.594   289.6
0.2320        -1530.764    -1534.451        3.687   297.1
0.2330        -1530.796    -1534.545        3.748   302.1
0.2340        -1530.780    -1534.616        3.836   309.2
0.2350        -1530.834    -1534.645        3.811   307.1
0.2360        -1530.768    -1534.626        3.859   310.9
0.2370        -1530.723    -1534.582        3.859   311.0
0.2380        -1530.655    -1534.547        3.893   313.7
0.2390        -1530.635    -1534.528        3.893   313.7
0.2400        -1530.634    -1534.544        3.910   315.1
0.2410        -1530.555    -1534.575        4.020   323.9
0.2420        -1530.577    -1534.596        4.019   323.9
0.2430        -1530.589    -1534.583        3.994   321.8
0.2440        -1530.618    -1534.530        3.912   315.2
0.2450        -1530.599    -1534.453        3.854   310.6
0.2460        -1530.601    -1534.360        3.758   302.9
0.2470        -1530.430    -1534.277        3.847   310.0
0.2480        -1530.516    -1534.205        3.689   297.3
0.2490        -1530.560    -1534.171        3.611   291.0
0.2500        -1530.565    -1534.174        3.609   290.8
0.2510        -1530.546    -1534.214        3.668   295.6
0.2520        -1530.545    -1534.274        3.729   300.5
0.2530        -1530.519    -1534.345        3.826   308.4
0.2540        -1530.474    -1534.409        3.935   317.1
0.2550        -1530.564    -1534.452        3.887   313.2
0.2560        -1530.684    -1534.453        3.769   303.7
0.2570        -1530.593    -1534.417        3.824   308.2
0.2580        -1530.653    -1534.353        3.700   298.2
0.2590        -1530.628    -1534.274        3.646   293.8
0.2600        -1530.605    -1534.221        3.616   291.4
0.2610        -1530.628    -1534.218        3.590   289.3
