Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -3047.326    -3067.566       20.240   611.7
0.0010        -3047.249    -3067.015       19.765   597.3
0.0020        -3047.448    -3065.712       18.264   551.9
0.0030        -3047.271    -3064.034       16.763   506.6
0.0040        -3047.385    -3062.518       15.133   457.3
0.0050        -3046.982    -3061.571       14.590   440.9
0.0060        -3046.847    -3061.499       14.652   442.8
0.0070        -3047.076    -3062.170       15.093   456.1
0.0080        -3047.036    -3063.370       16.334   493.6
0.0090        -3046.821    -3064.625       17.804   538.1
0.0100        -3046.809    -3065.514       18.706   565.3
0.0110        -3046.933    -3065.851       18.918   571.7
0.0120        -3046.893    -3065.615       18.722   565.8
0.0130        -3047.020    -3064.937       17.917   541.5
0.0140        -3047.292    -3064.057       16.765   506.6
0.0150        -3047.089    -3063.338       16.249   491.1
0.0160        -3047.249    -3062.937       15.687   474.1
0.0170        -3047.045    -3062.910       15.865   479.4
0.0180        -3046.718    -3063.304       16.586   501.2
0.0190        -3046.659    -3063.889       17.229   520.7
0.0200        -3046.577    -3064.394       17.817   538.4
0.0210        -3046.473    -3064.525       18.052   545.5
0.0220        -3046.479    -3064.093       17.614   532.3
0.0230        -3046.179    -3063.141       16.962   512.6
0.0240        -3046.221    -3061.966       15.745   475.8
0.0250        -3046.274    -3060.875       14.601   441.2
0.0260        -3045.942    -3060.082       14.140   427.3
0.0270        -3045.870    -3059.679       13.809   417.3
0.0280        -3046.034    -3059.669       13.635   412.0
0.0290        -3045.963    -3059.945       13.982   422.5
0.0300        -3045.840    -3060.376       14.537   439.3
0.0310        -3045.640    -3060.854       15.214   459.8
0.0320        -3045.441    -3061.193       15.752   476.0
0.0330        -3045.418    -3061.351       15.933   481.5
0.0340        -3045.193    -3061.369       16.176   488.8
0.0350        -3045.256    -3061.381       16.125   487.3
0.0360        -3045.108    -3061.484       16.376   494.9
0.0370        -3045.000    -3061.849       16.849   509.2
0.0380        -3044.665    -3062.546       17.880   540.3
0.0390        -3045.033    -3063.538       18.505   559.2
0.0400        -3045.248    -3064.628       19.380   585.7
0.0410        -3044.877    -3065.614       20.737   626.7
0.0420        -3044.939    -3066.266       21.327   644.5
0.0430        -3044.801    -3066.379       21.578   652.1
0.0440        -3045.133    -3065.974       20.841   629.8
0.0450        -3045.281    -3065.204       19.923   602.1
0.0460        -3045.212    -3064.235       19.023   574.9
0.0470        -3045.093    -3063.247       18.154   548.6
0.0480        -3044.932    -3062.342       17.410   526.1
0.0490        -3044.733    -3061.665       16.932   511.7
0.0500        -3044.431    -3061.172       16.741   505.9
0.0510        -3044.230    -3060.855       16.625   502.4
0.0520        -3044.097    -3060.594       16.497   498.5
0.0530        -3043.825    -3060.391       16.567   500.6
0.0540        -3043.876    -3060.206       16.330   493.5
0.0550        -3043.836    -3059.986       16.149   488.0
0.0560        -3043.777    -3059.734       15.957   482.2
0.0570        -3043.692    -3059.461       15.768   476.5
0.0580        -3043.523    -3059.278       15.755   476.1
0.0590        -3043.100    -3059.322       16.222   490.2
0.0600        -3042.935    -3059.551       16.616   502.1
0.0610        -3042.788    -3060.005       17.217   520.3
0.0620        -3042.959    -3060.596       17.638   533.0
0.0630        -3042.802    -3061.142       18.341   554.3
0.0640        -3042.674    -3061.524       18.850   569.6
0.0650        -3042.931    -3061.683       18.753   566.7
0.0660        -3042.874    -3061.632       18.759   566.9
0.0670        -3042.525    -3061.421       18.896   571.0
0.0680        -3042.447    -3061.101       18.654   563.7
0.0690        -3042.451    -3060.780       18.329   553.9
0.0700        -3042.791    -3060.656       17.865   539.9
0.0710        -3042.706    -3060.861       18.156   548.7
0.0720        -3042.706    -3061.311       18.605   562.2
0.0730        -3042.590    -3061.932       19.342   584.5
0.0740        -3042.451    -3062.576       20.124   608.2
0.0750        -3042.140    -3062.991       20.851   630.1
0.0760        -3042.020    -3062.979       20.960   633.4
0.0770        -3042.209    -3062.548       20.339   614.7
0.0780        -3041.866    -3061.729       19.863   600.3
0.0790        -3041.812    -3060.794       18.982   573.7
0.0800        -3041.973    -3059.904       17.931   541.9
0.0810        -3041.861    -3059.236       17.376   525.1
0.0820        -3042.182    -3058.830       16.648   503.1
0.0830        -3042.426    -3058.734       16.307   492.8
0.0840        -3042.435    -3058.845       16.410   495.9
0.0850        -3042.519    -3059.024       16.505   498.8
0.0860        -3042.475    -3059.232       16.757   506.4
0.0870        -3042.412    -3059.506       17.094   516.6
0.0880        -3042.377    -3059.815       17.438   527.0
0.0890        -3042.383    -3060.160       17.777   537.2
0.0900        -3042.523    -3060.486       17.962   542.8
0.0910        -3042.500    -3060.816       18.316   553.5
0.0920        -3042.509    -3061.115       18.606   562.3
0.0930        -3042.396    -3061.423       19.028   575.0
0.0940        -3042.356    -3061.707       19.351   584.8
0.0950        -3042.128    -3061.933       19.805   598.5
0.0960        -3042.060    -3062.015       19.954   603.0
0.0970        -3041.627    -3061.784       20.157   609.1
0.0980        -3041.817    -3061.240       19.423   587.0
0.0990        -3041.968    -3060.606       18.637   563.2
0.1000        -3041.864    -3060.138       18.274   552.2
0.1010        -3042.003    -3059.951       17.947   542.4
0.1020        -3042.032    -3060.091       18.059   545.7
0.1030        -3041.726    -3060.530       18.803   568.2
0.1040        -3041.670    -3061.053       19.383   585.8
0.1050        -3042.025    -3061.498       19.473   588.5
0.1060        -3042.133    -3061.773       19.639   593.5
0.1070        -3042.165    -3061.816       19.651   593.9
0.1080        -3042.271    -3061.702       19.431   587.2
0.1090        -3042.001    -3061.498       19.496   589.2
0.1100        -3041.631    -3061.285       19.654   593.9
0.1110        -3041.494    -3061.104       19.610   592.6
0.1120        -3041.556    -3060.923       19.367   585.3
0.1130        -3041.718    -3060.716       18.998   574.1
0.1140        -3041.687    -3060.470       18.782   567.6
0.1150        -3041.768    -3060.096       18.328   553.9
0.1160        -3041.465    -3059.616       18.152   548.5
0.1170        -3041.315    -3059.078       17.763   536.8
0.1180        -3041.343    -3058.687       17.344   524.1
0.1190        -3041.156    -3058.658       17.502   528.9
0.1200        -3041.208    -3058.928       17.720   535.5
0.1210        -3041.007    -3059.327       18.320   553.6
0.1220        -3040.900    -3059.686       18.785   567.7
0.1230        -3040.789    -3059.853       19.065   576.1
0.1240        -3040.943    -3059.884       18.941   572.4
0.1250        -3040.971    -3059.899       18.929   572.0
0.1260        -3041.119    -3059.978       18.859   569.9
0.1270        -3041.117    -3060.285       19.167   579.2
0.1280        -3041.178    -3060.750       19.572   591.5
0.1290        -3041.498    -3061.302       19.804   598.5
0.1300        -3041.492    -3061.807       20.315   613.9
0.1310        -3041.607    -3062.032       20.425   617.2
0.1320        -3042.044    -3062.016       19.971   603.5
0.1330        -3042.084    -3061.699       19.615   592.8
0.1340        -3042.044    -3061.237       19.193   580.0
0.1350        -3041.947    -3060.736       18.789   567.8
0.1360        -3042.186    -3060.385       18.199   550.0
0.1370        -3042.004    -3060.327       18.323   553.7
0.1380        -3042.217    -3060.545       18.329   553.9
0.1390        -3042.201    -3060.840       18.639   563.3
0.1400        -3042.070    -3061.092       19.022   574.8
0.1410        -3042.071    -3061.199       19.128   578.1
0.1420        -3042.018    -3061.212       19.194   580.0
0.1430        -3042.235    -3061.148       18.913   571.6
0.1440        -3042.342    -3061.003       18.660   563.9
0.1450        -3042.604    -3060.774       18.170   549.1
0.1460        -3042.755    -3060.584       17.829   538.8
0.1470        -3042.586    -3060.492       17.906   541.1
0.1480        -3042.208    -3060.476       18.269   552.1
0.1490        -3042.276    -3060.498       18.223   550.7
0.1500        -3042.044    -3060.480       18.436   557.1
0.1510        -3042.261    -3060.432       18.171   549.1
0.1520        -3042.112    -3060.333       18.221   550.6
