Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -3067.566    -3067.566        0.000     0.0
0.0010        -3067.575    -3067.961        0.387    11.7
0.0020        -3067.608    -3069.053        1.445    43.7
0.0030        -3067.671    -3070.598        2.927    88.4
0.0040        -3067.766    -3072.279        4.514   136.4
0.0050        -3067.884    -3073.798        5.914   178.7
0.0060        -3068.018    -3074.951        6.933   209.5
0.0070        -3068.159    -3075.678        7.519   227.2
0.0080        -3068.303    -3076.060        7.757   234.4
0.0090        -3068.450    -3076.254        7.805   235.9
0.0100        -3068.603    -3076.411        7.809   236.0
0.0110        -3068.763    -3076.590        7.827   236.5
0.0120        -3068.928    -3076.737        7.809   236.0
0.0130        -3069.090    -3076.736        7.646   231.1
0.0140        -3069.240    -3076.494        7.255   219.2
0.0150        -3069.372    -3076.024        6.652   201.0
0.0160        -3069.486    -3075.451        5.965   180.2
0.0170        -3069.589    -3074.965        5.376   162.5
0.0180        -3069.689    -3074.735        5.046   152.5
0.0190        -3069.794    -3074.823        5.029   152.0
0.0200        -3069.908    -3075.159        5.251   158.7
0.0210        -3070.030    -3075.567        5.537   167.3
0.0220        -3070.153    -3075.838        5.684   171.8
0.0230        -3070.269    -3075.820        5.551   167.7
0.0240        -3070.370    -3075.486        5.117   154.6
0.0250        -3070.454    -3074.945        4.490   135.7
0.0260        -3070.527    -3074.383        3.856   116.5
0.0270        -3070.595    -3073.975        3.380   102.2
0.0280        -3070.663    -3073.796        3.133    94.7
0.0290        -3070.734    -3073.796        3.062    92.5
0.0300        -3070.803    -3073.845        3.042    91.9
0.0310        -3070.867    -3073.820        2.953    89.2
0.0320        -3070.920    -3073.675        2.755    83.2
0.0330        -3070.965    -3073.467        2.503    75.6
0.0340        -3071.003    -3073.330        2.326    70.3
0.0350        -3071.043    -3073.412        2.369    71.6
0.0360        -3071.092    -3073.821        2.729    82.5
0.0370        -3071.159    -3074.575        3.417   103.2
0.0380        -3071.247    -3075.590        4.343   131.2
0.0390        -3071.358    -3076.694        5.336   161.3
0.0400        -3071.486    -3077.678        6.192   187.1
0.0410        -3071.623    -3078.355        6.732   203.4
0.0420        -3071.760    -3078.623        6.863   207.4
0.0430        -3071.888    -3078.498        6.611   199.8
0.0440        -3072.004    -3078.109        6.105   184.5
0.0450        -3072.111    -3077.635        5.524   166.9
0.0460        -3072.213    -3077.231        5.018   151.6
0.0470        -3072.312    -3076.957        4.645   140.4
0.0480        -3072.409    -3076.774        4.365   131.9
0.0490        -3072.500    -3076.583        4.083   123.4
0.0500        -3072.580    -3076.293        3.713   112.2
0.0510        -3072.646    -3075.879        3.232    97.7
0.0520        -3072.699    -3075.393        2.694    81.4
0.0530        -3072.741    -3074.941        2.200    66.5
0.0540        -3072.776    -3074.639        1.862    56.3
0.0550        -3072.811    -3074.565        1.754    53.0
0.0560        -3072.850    -3074.738        1.888    57.1
0.0570        -3072.897    -3075.110        2.213    66.9
0.0580        -3072.953    -3075.584        2.631    79.5
0.0590        -3073.016    -3076.048        3.031    91.6
0.0600        -3073.084    -3076.408        3.324   100.5
0.0610        -3073.152    -3076.618        3.467   104.8
0.0620        -3073.218    -3076.687        3.469   104.8
0.0630        -3073.283    -3076.663        3.380   102.1
0.0640        -3073.347    -3076.609        3.262    98.6
0.0650        -3073.411    -3076.571        3.160    95.5
0.0660        -3073.474    -3076.563        3.089    93.3
0.0670        -3073.537    -3076.573        3.036    91.8
0.0680        -3073.597    -3076.588        2.991    90.4
0.0690        -3073.655    -3076.613        2.958    89.4
0.0700        -3073.711    -3076.680        2.969    89.7
0.0710        -3073.769    -3076.839        3.070    92.8
0.0720        -3073.832    -3077.129        3.297    99.6
0.0730        -3073.905    -3077.555        3.650   110.3
0.0740        -3073.988    -3078.067        4.078   123.2
0.0750        -3074.082    -3078.566        4.484   135.5
0.0760        -3074.183    -3078.928        4.746   143.4
0.0770        -3074.283    -3079.037        4.754   143.7
0.0780        -3074.376    -3078.822        4.446   134.4
0.0790        -3074.454    -3078.289        3.835   115.9
0.0800        -3074.514    -3077.529        3.016    91.1
0.0810        -3074.554    -3076.701        2.147    64.9
0.0820        -3074.580    -3075.981        1.400    42.3
0.0830        -3074.600    -3075.508        0.909    27.5
0.0840        -3074.618    -3075.340        0.722    21.8
0.0850        -3074.639    -3075.440        0.801    24.2
0.0860        -3074.665    -3075.709        1.044    31.6
0.0870        -3074.694    -3076.036        1.343    40.6
0.0880        -3074.725    -3076.346        1.621    49.0
0.0890        -3074.759    -3076.614        1.856    56.1
0.0900        -3074.795    -3076.864        2.069    62.5
0.0910        -3074.838    -3077.136        2.299    69.5
0.0920        -3074.887    -3077.456        2.569    77.6
0.0930        -3074.945    -3077.812        2.867    86.6
0.0940        -3075.010    -3078.157        3.147    95.1
0.0950        -3075.079    -3078.421        3.342   101.0
0.0960        -3075.149    -3078.543        3.394   102.6
0.0970        -3075.214    -3078.497        3.282    99.2
0.0980        -3075.274    -3078.308        3.034    91.7
