Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -3057.446    -3067.566       10.120   305.8
0.0010        -3057.405    -3067.474       10.069   304.3
0.0020        -3057.523    -3067.367        9.844   297.5
0.0030        -3057.489    -3067.304        9.815   296.6
0.0040        -3057.612    -3067.395        9.783   295.7
0.0050        -3057.471    -3067.702       10.230   309.2
0.0060        -3057.467    -3068.272       10.805   326.5
0.0070        -3057.690    -3069.008       11.319   342.1
0.0080        -3057.727    -3069.836       12.109   365.9
0.0090        -3057.706    -3070.580       12.874   389.0
0.0100        -3057.801    -3071.101       13.300   401.9
0.0110        -3057.958    -3071.333       13.375   404.2
0.0120        -3057.998    -3071.246       13.247   400.3
0.0130        -3058.177    -3070.862       12.685   383.4
0.0140        -3058.410    -3070.279       11.868   358.7
0.0150        -3058.356    -3069.694       11.337   342.6
0.0160        -3058.514    -3069.242       10.728   324.2
0.0170        -3058.439    -3069.031       10.592   320.1
0.0180        -3058.320    -3069.155       10.836   327.5
0.0190        -3058.319    -3069.506       11.187   338.1
0.0200        -3058.317    -3069.909       11.591   350.3
0.0210        -3058.304    -3070.130       11.827   357.4
0.0220        -3058.392    -3069.986       11.593   350.3
0.0230        -3058.278    -3069.442       11.164   337.4
0.0240        -3058.329    -3068.654       10.326   312.0
0.0250        -3058.407    -3067.837        9.430   285.0
0.0260        -3058.272    -3067.180        8.908   269.2
0.0270        -3058.270    -3066.799        8.529   257.8
0.0280        -3058.421    -3066.734        8.313   251.2
0.0290        -3058.419    -3066.903        8.484   256.4
0.0300        -3058.381    -3067.168        8.787   265.5
0.0310        -3058.304    -3067.411        9.107   275.2
0.0320        -3058.223    -3067.513        9.290   280.7
0.0330        -3058.243    -3067.479        9.236   279.1
0.0340        -3058.138    -3067.406        9.268   280.1
0.0350        -3058.175    -3067.445        9.269   280.1
0.0360        -3058.121    -3067.698        9.577   289.4
0.0370        -3058.098    -3068.264       10.165   307.2
0.0380        -3057.946    -3069.134       11.188   338.1
0.0390        -3058.198    -3070.201       12.003   362.7
0.0400        -3058.378    -3071.252       12.873   389.0
0.0410        -3058.260    -3072.089       13.829   417.9
0.0420        -3058.365    -3072.539       14.173   428.3
0.0430        -3058.354    -3072.506       14.152   427.7
0.0440        -3058.596    -3072.068       13.472   407.1
0.0450        -3058.758    -3071.401       12.643   382.1
0.0460        -3058.778    -3070.666       11.888   359.2
0.0470        -3058.763    -3070.001       11.238   339.6
0.0480        -3058.712    -3069.439       10.727   324.2
0.0490        -3058.661    -3069.027       10.366   313.3
