Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -3060.820    -3067.566        6.747   203.9
0.0010        -3060.791    -3067.629        6.838   206.7
0.0020        -3060.882    -3067.921        7.039   212.7
0.0030        -3060.892    -3068.396        7.504   226.8
0.0040        -3061.015    -3069.023        8.008   242.0
0.0050        -3060.962    -3069.747        8.785   265.5
0.0060        -3061.002    -3070.528        9.526   287.9
0.0070        -3061.217    -3071.281       10.064   304.1
0.0080        -3061.281    -3071.973       10.692   323.1
0.0090        -3061.322    -3072.537       11.215   338.9
0.0100        -3061.448    -3072.930       11.482   347.0
0.0110        -3061.613    -3073.129       11.516   348.0
0.0120        -3061.683    -3073.101       11.418   345.1
0.0130        -3061.874    -3072.829       10.955   331.1
0.0140        -3062.089    -3072.353       10.264   310.2
0.0150        -3062.088    -3071.814        9.726   293.9
0.0160        -3062.242    -3071.337        9.095   274.8
0.0170        -3062.212    -3071.051        8.839   267.1
0.0180        -3062.162    -3071.071        8.908   269.2
0.0190        -3062.185    -3071.335        9.150   276.5
0.0200        -3062.211    -3071.705        9.494   286.9
0.0210        -3062.231    -3071.968        9.737   294.2
0.0220        -3062.344    -3071.937        9.593   289.9
0.0230        -3062.295    -3071.547        9.252   279.6
0.0240        -3062.352    -3070.901        8.550   258.4
0.0250        -3062.438    -3070.178        7.739   233.9
0.0260        -3062.370    -3069.561        7.191   217.3
0.0270        -3062.391    -3069.178        6.787   205.1
0.0280        -3062.532    -3069.083        6.551   198.0
0.0290        -3062.553    -3069.203        6.650   201.0
0.0300        -3062.544    -3069.402        6.859   207.3
0.0310        -3062.510    -3069.562        7.052   213.1
0.0320        -3062.468    -3069.585        7.117   215.1
0.0330        -3062.500    -3069.495        6.995   211.4
0.0340        -3062.438    -3069.401        6.963   210.4
0.0350        -3062.471    -3069.458        6.987   211.1
0.0360        -3062.448    -3069.764        7.316   221.1
0.0370        -3062.453    -3070.396        7.943   240.0
0.0380        -3062.367    -3071.318        8.952   270.5
0.0390        -3062.578    -3072.402        9.825   296.9
0.0400        -3062.746    -3073.434       10.688   323.0
0.0410        -3062.711    -3074.217       11.506   347.7
0.0420        -3062.829    -3074.599       11.770   355.7
0.0430        -3062.859    -3074.523       11.663   352.5
0.0440        -3063.070    -3074.083       11.013   332.8
