Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -3064.193    -3067.566        3.373   101.9
0.0010        -3064.179    -3067.787        3.609   109.1
0.0020        -3064.242    -3068.478        4.236   128.0
0.0030        -3064.292    -3069.491        5.199   157.1
0.0040        -3064.411    -3070.652        6.241   188.6
0.0050        -3064.445    -3071.789        7.343   221.9
0.0060        -3064.530    -3072.777        8.246   249.2
0.0070        -3064.730    -3073.537        8.807   266.2
0.0080        -3064.825    -3074.088        9.263   279.9
0.0090        -3064.925    -3074.467        9.542   288.4
0.0100        -3065.077    -3074.731        9.654   291.7
0.0110        -3065.247    -3074.902        9.655   291.8
0.0120        -3065.350    -3074.942        9.592   289.9
0.0130        -3065.546    -3074.790        9.244   279.4
0.0140        -3065.740    -3074.427        8.687   262.5
0.0150        -3065.795    -3073.931        8.137   245.9
0.0160        -3065.941    -3073.422        7.481   226.1
0.0170        -3065.961    -3073.051        7.090   214.3
0.0180        -3065.981    -3072.956        6.975   210.8
0.0190        -3066.032    -3073.131        7.099   214.5
0.0200        -3066.089    -3073.472        7.383   223.1
0.0210        -3066.147    -3073.787        7.640   230.9
0.0220        -3066.280    -3073.883        7.604   229.8
0.0230        -3066.300    -3073.662        7.361   222.5
0.0240        -3066.366    -3073.164        6.798   205.4
0.0250        -3066.460    -3072.534        6.075   183.6
0.0260        -3066.459    -3071.953        5.494   166.0
0.0270        -3066.504    -3071.561        5.058   152.8
0.0280        -3066.628    -3071.429        4.801   145.1
0.0290        -3066.672    -3071.494        4.822   145.7
0.0300        -3066.693    -3071.622        4.929   149.0
0.0310        -3066.704    -3071.695        4.991   150.8
0.0320        -3066.703    -3071.640        4.937   149.2
0.0330        -3066.745    -3071.496        4.751   143.6
0.0340        -3066.728    -3071.386        4.658   140.8
0.0350        -3066.760    -3071.462        4.702   142.1
0.0360        -3066.770    -3071.823        5.053   152.7
0.0370        -3066.803    -3072.518        5.715   172.7
0.0380        -3066.787    -3073.489        6.702   202.5
0.0390        -3066.956    -3074.586        7.630   230.6
0.0400        -3067.110    -3075.595        8.484   256.4
0.0410        -3067.158    -3076.323        9.165   277.0
0.0420        -3067.287    -3076.640        9.353   282.7
0.0430        -3067.361    -3076.526        9.165   277.0
0.0440        -3067.537    -3076.091        8.554   258.5
0.0450        -3067.690    -3075.521        7.831   236.7
0.0460        -3067.766    -3074.974        7.208   217.8
0.0470        -3067.823    -3074.549        6.726   203.3
0.0480        -3067.859    -3074.231        6.372   192.6
0.0490        -3067.902    -3073.984        6.082   183.8
0.0500        -3067.880    -3073.715        5.834   176.3
0.0510        -3067.865    -3073.380        5.515   166.7
0.0520        -3067.872    -3072.977        5.105   154.3
0.0530        -3067.878    -3072.582        4.703   142.1
0.0540        -3067.893    -3072.285        4.392   132.7
0.0550        -3067.907    -3072.146        4.239   128.1
0.0560        -3067.936    -3072.190        4.254   128.6
0.0570        -3067.978    -3072.396        4.418   133.5
0.0580        -3068.006    -3072.723        4.717   142.5
0.0590        -3067.979    -3073.119        5.140   155.3
0.0600        -3068.024    -3073.489        5.465   165.1
0.0610        -3068.042    -3073.796        5.754   173.9
0.0620        -3068.148    -3074.019        5.871   177.4
0.0630        -3068.161    -3074.156        5.995   181.2
0.0640        -3068.155    -3074.219        6.064   183.3
0.0650        -3068.273    -3074.220        5.946   179.7
0.0660        -3068.326    -3074.181        5.854   176.9
0.0670        -3068.304    -3074.118        5.814   175.7
0.0680        -3068.313    -3074.037        5.725   173.0
0.0690        -3068.389    -3073.973        5.584   168.8
0.0700        -3068.504    -3073.994        5.490   165.9
0.0710        -3068.544    -3074.155        5.611   169.6
0.0720        -3068.607    -3074.457        5.850   176.8
0.0730        -3068.617    -3074.896        6.279   189.7
0.0740        -3068.643    -3075.410        6.768   204.5
0.0750        -3068.674    -3075.884        7.209   217.9
0.0760        -3068.744    -3076.179        7.434   224.7
0.0770        -3068.853    -3076.202        7.349   222.1
0.0780        -3068.816    -3075.895        7.079   213.9
0.0790        -3068.871    -3075.299        6.429   194.3
0.0800        -3068.944    -3074.511        5.566   168.2
0.0810        -3068.961    -3073.697        4.736   143.1
0.0820        -3069.050    -3073.015        3.965   119.8
0.0830        -3069.105    -3072.591        3.486   105.3
0.0840        -3069.120    -3072.470        3.350   101.2
0.0850        -3069.164    -3072.599        3.435   103.8
0.0860        -3069.174    -3072.881        3.707   112.0
0.0870        -3069.195    -3073.227        4.031   121.8
0.0880        -3069.233    -3073.564        4.330   130.9
0.0890        -3069.274    -3073.870        4.596   138.9
0.0900        -3069.347    -3074.155        4.808   145.3
0.0910        -3069.375    -3074.448        5.073   153.3
0.0920        -3069.441    -3074.768        5.327   161.0
